"X01" "X02" "X03" "X04" "X05" "X06" "X07" "X08" "X09" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20"
257 34 1.08 21.89 236 38 0.29 28.34 207 35 0.19 23.27 235 36 0.6 26.44 193 35 0.07 22.38
236 38 0.29 28.34 207 35 0.19 23.27 235 36 0.6 26.44 193 35 0.07 22.38 216 33 0.23 20.52
207 35 0.19 23.27 235 36 0.6 26.44 193 35 0.07 22.38 216 33 0.23 20.52 231 32 0.34 21.18
235 36 0.6 26.44 193 35 0.07 22.38 216 33 0.23 20.52 231 32 0.34 21.18 231 38 0.28 25.44
193 35 0.07 22.38 216 33 0.23 20.52 231 32 0.34 21.18 231 38 0.28 25.44 216 33 0.21 21.05
216 33 0.23 20.52 231 32 0.34 21.18 231 38 0.28 25.44 216 33 0.21 21.05 226 34 0.99 21.89
231 32 0.34 21.18 231 38 0.28 25.44 216 33 0.21 21.05 226 34 0.99 21.89 182 34 0.06 21.72
231 38 0.28 25.44 216 33 0.21 21.05 226 34 0.99 21.89 182 34 0.06 21.72 214 35 0.37 21.96
216 33 0.21 21.05 226 34 0.99 21.89 182 34 0.06 21.72 214 35 0.37 21.96 214 36 0.18 22.91
226 34 0.99 21.89 182 34 0.06 21.72 214 35 0.37 21.96 214 36 0.18 22.91 261 36 1.54 23.51
182 34 0.06 21.72 214 35 0.37 21.96 214 36 0.18 22.91 261 36 1.54 23.51 215 39 0.06 26.41
214 35 0.37 21.96 214 36 0.18 22.91 261 36 1.54 23.51 215 39 0.06 26.41 249 37 0.76 24.48
214 36 0.18 22.91 261 36 1.54 23.51 215 39 0.06 26.41 249 37 0.76 24.48 263 40 0.9 23.59
261 36 1.54 23.51 215 39 0.06 26.41 249 37 0.76 24.48 263 40 0.9 23.59 214 38 0.06 25.21
215 39 0.06 26.41 249 37 0.76 24.48 263 40 0.9 23.59 214 38 0.06 25.21 222 34 0.12 21.64
249 37 0.76 24.48 263 40 0.9 23.59 214 38 0.06 25.21 222 34 0.12 21.64 247 34 0.36 21.59
263 40 0.9 23.59 214 38 0.06 25.21 222 34 0.12 21.64 247 34 0.36 21.59 193 33 0.03 22.36
214 38 0.06 25.21 222 34 0.12 21.64 247 34 0.36 21.59 193 33 0.03 22.36 230 33 0.62 20.77
222 34 0.12 21.64 247 34 0.36 21.59 193 33 0.03 22.36 230 33 0.62 20.77 218 33 0.37 21.42
247 34 0.36 21.59 193 33 0.03 22.36 230 33 0.62 20.77 218 33 0.37 21.42 210 36 0.41 22.96
193 33 0.03 22.36 230 33 0.62 20.77 218 33 0.37 21.42 210 36 0.41 22.96 224 35 0.48 22.59
230 33 0.62 20.77 218 33 0.37 21.42 210 36 0.41 22.96 224 35 0.48 22.59 217 36 0.07 22.66
218 33 0.37 21.42 210 36 0.41 22.96 224 35 0.48 22.59 217 36 0.07 22.66 198 35 0.06 21.94
210 36 0.41 22.96 224 35 0.48 22.59 217 36 0.07 22.66 198 35 0.06 21.94 244 32 0.61 20.48
224 35 0.48 22.59 217 36 0.07 22.66 198 35 0.06 21.94 244 32 0.61 20.48 207 35 0.03 22.64
217 36 0.07 22.66 198 35 0.06 21.94 244 32 0.61 20.48 207 35 0.03 22.64 203 35 0.11 23.79
198 35 0.06 21.94 244 32 0.61 20.48 207 35 0.03 22.64 203 35 0.11 23.79 251 36 0.49 22.15
244 32 0.61 20.48 207 35 0.03 22.64 203 35 0.11 23.79 251 36 0.49 22.15 230 37 0.08 23.02
207 35 0.03 22.64 203 35 0.11 23.79 251 36 0.49 22.15 230 37 0.08 23.02 198 35 0.04 22.26
203 35 0.11 23.79 251 36 0.49 22.15 230 37 0.08 23.02 198 35 0.04 22.26 229 32 0.54 19.68
251 36 0.49 22.15 230 37 0.08 23.02 198 35 0.04 22.26 229 32 0.54 19.68 220 32 0.03 20.46
230 37 0.08 23.02 198 35 0.04 22.26 229 32 0.54 19.68 220 32 0.03 20.46 201 36 0.42 24.01
198 35 0.04 22.26 229 32 0.54 19.68 220 32 0.03 20.46 201 36 0.42 24.01 230 34 0.38 20.61
229 32 0.54 19.68 220 32 0.03 20.46 201 36 0.42 24.01 230 34 0.38 20.61 200 34 0.03 21.21
220 32 0.03 20.46 201 36 0.42 24.01 230 34 0.38 20.61 200 34 0.03 21.21 218 35 0.34 20.52
201 36 0.42 24.01 230 34 0.38 20.61 200 34 0.03 21.21 218 35 0.34 20.52 206 33 0.32 20.1
230 34 0.38 20.61 200 34 0.03 21.21 218 35 0.34 20.52 206 33 0.32 20.1 191 33 0.02 20.98
200 34 0.03 21.21 218 35 0.34 20.52 206 33 0.32 20.1 191 33 0.02 20.98 207 32 0.82 20.55
218 35 0.34 20.52 206 33 0.32 20.1 191 33 0.02 20.98 207 32 0.82 20.55 203 32 0.19 20.42
206 33 0.32 20.1 191 33 0.02 20.98 207 32 0.82 20.55 203 32 0.19 20.42 217 35 0.54 21.74
191 33 0.02 20.98 207 32 0.82 20.55 203 32 0.19 20.42 217 35 0.54 21.74 205 35 0.21 22.25
207 32 0.82 20.55 203 32 0.19 20.42 217 35 0.54 21.74 205 35 0.21 22.25 221 35 0.49 21.54
203 32 0.19 20.42 217 35 0.54 21.74 205 35 0.21 22.25 221 35 0.49 21.54 205 37 0.06 23.52
217 35 0.54 21.74 205 35 0.21 22.25 221 35 0.49 21.54 205 37 0.06 23.52 227 36 0.57 22.19
205 35 0.21 22.25 221 35 0.49 21.54 205 37 0.06 23.52 227 36 0.57 22.19 219 36 0.09 21.39
221 35 0.49 21.54 205 37 0.06 23.52 227 36 0.57 22.19 219 36 0.09 21.39 236 35 0.25 23.59
205 37 0.06 23.52 227 36 0.57 22.19 219 36 0.09 21.39 236 35 0.25 23.59 268 39 1.28 23.79
227 36 0.57 22.19 219 36 0.09 21.39 236 35 0.25 23.59 268 39 1.28 23.79 224 31 0.95 18.55
219 36 0.09 21.39 236 35 0.25 23.59 268 39 1.28 23.79 224 31 0.95 18.55 196 33 0.03 20.11
236 35 0.25 23.59 268 39 1.28 23.79 224 31 0.95 18.55 196 33 0.03 20.11 220 32 1.19 20.11
268 39 1.28 23.79 224 31 0.95 18.55 196 33 0.03 20.11 220 32 1.19 20.11 238 33 0.61 20.32
224 31 0.95 18.55 196 33 0.03 20.11 220 32 1.19 20.11 238 33 0.61 20.32 189 32 2.04 20.11
196 33 0.03 20.11 220 32 1.19 20.11 238 33 0.61 20.32 189 32 2.04 20.11 233 33 0.69 20.82
220 32 1.19 20.11 238 33 0.61 20.32 189 32 2.04 20.11 233 33 0.69 20.82 242 36 0.79 23.8
238 33 0.61 20.32 189 32 2.04 20.11 233 33 0.69 20.82 242 36 0.79 23.8 204 35 0.14 22.11
189 32 2.04 20.11 233 33 0.69 20.82 242 36 0.79 23.8 204 35 0.14 22.11 220 36 0.48 22.07
233 33 0.69 20.82 242 36 0.79 23.8 204 35 0.14 22.11 220 36 0.48 22.07 201 36 0.03 22
242 36 0.79 23.8 204 35 0.14 22.11 220 36 0.48 22.07 201 36 0.03 22 237 33 0.86 19.66
204 35 0.14 22.11 220 36 0.48 22.07 201 36 0.03 22 237 33 0.86 19.66 252 40 1.12 23.59
220 36 0.48 22.07 201 36 0.03 22 237 33 0.86 19.66 252 40 1.12 23.59 205 36 0.18 19.62
201 36 0.03 22 237 33 0.86 19.66 252 40 1.12 23.59 205 36 0.18 19.62 247 34 0.45 19.64
237 33 0.86 19.66 252 40 1.12 23.59 205 36 0.18 19.62 247 34 0.45 19.64 202 33 0.02 19.72
252 40 1.12 23.59 205 36 0.18 19.62 247 34 0.45 19.64 202 33 0.02 19.72 211 34 0.44 19.39
205 36 0.18 19.62 247 34 0.45 19.64 202 33 0.02 19.72 211 34 0.44 19.39 226 33 0.96 19.36
247 34 0.45 19.64 202 33 0.02 19.72 211 34 0.44 19.39 226 33 0.96 19.36 235 35 0.82 20.99
202 33 0.02 19.72 211 34 0.44 19.39 226 33 0.96 19.36 235 35 0.82 20.99 243 36 0.59 20.73
211 34 0.44 19.39 226 33 0.96 19.36 235 35 0.82 20.99 243 36 0.59 20.73 223 33 0.29 19.94
226 33 0.96 19.36 235 35 0.82 20.99 243 36 0.59 20.73 223 33 0.29 19.94 238 35 0.53 22.43
235 35 0.82 20.99 243 36 0.59 20.73 223 33 0.29 19.94 238 35 0.53 22.43 180 46 0.01 22.95
243 36 0.59 20.73 223 33 0.29 19.94 238 35 0.53 22.43 180 46 0.01 22.95 171 93 0.01 33.7
223 33 0.29 19.94 238 35 0.53 22.43 180 46 0.01 22.95 171 93 0.01 33.7 265 87 0.29 33.25
238 35 0.53 22.43 180 46 0.01 22.95 171 93 0.01 33.7 265 87 0.29 33.25 242 44 0.16 15.96
180 46 0.01 22.95 171 93 0.01 33.7 265 87 0.29 33.25 242 44 0.16 15.96 253 41 0.24 16.46
171 93 0.01 33.7 265 87 0.29 33.25 242 44 0.16 15.96 253 41 0.24 16.46 262 33 0.97 17.25
265 87 0.29 33.25 242 44 0.16 15.96 253 41 0.24 16.46 262 33 0.97 17.25 231 39 0.12 17.09
242 44 0.16 15.96 253 41 0.24 16.46 262 33 0.97 17.25 231 39 0.12 17.09 226 37 0.14 19.64
253 41 0.24 16.46 262 33 0.97 17.25 231 39 0.12 17.09 226 37 0.14 19.64 275 38 0.91 17.48
262 33 0.97 17.25 231 39 0.12 17.09 226 37 0.14 19.64 275 38 0.91 17.48 252 36 0.17 18.46
231 39 0.12 17.09 226 37 0.14 19.64 275 38 0.91 17.48 252 36 0.17 18.46 221 33 0.03 18.11
226 37 0.14 19.64 275 38 0.91 17.48 252 36 0.17 18.46 221 33 0.03 18.11 235 34 0.82 17.73
275 38 0.91 17.48 252 36 0.17 18.46 221 33 0.03 18.11 235 34 0.82 17.73 208 37 0.11 19.8
252 36 0.17 18.46 221 33 0.03 18.11 235 34 0.82 17.73 208 37 0.11 19.8 219 35 0.79 19.74
221 33 0.03 18.11 235 34 0.82 17.73 208 37 0.11 19.8 219 35 0.79 19.74 222 41 0.14 19.18
235 34 0.82 17.73 208 37 0.11 19.8 219 35 0.79 19.74 222 41 0.14 19.18 213 35 0.38 19.27
208 37 0.11 19.8 219 35 0.79 19.74 222 41 0.14 19.18 213 35 0.38 19.27 201 37 0.12 19.61
219 35 0.79 19.74 222 41 0.14 19.18 213 35 0.38 19.27 201 37 0.12 19.61 243 36 1.28 19.56
222 41 0.14 19.18 213 35 0.38 19.27 201 37 0.12 19.61 243 36 1.28 19.56 249 34 0.18 18.71
213 35 0.38 19.27 201 37 0.12 19.61 243 36 1.28 19.56 249 34 0.18 18.71 211 33 1.17 17.75
201 37 0.12 19.61 243 36 1.28 19.56 249 34 0.18 18.71 211 33 1.17 17.75 197 33 0.04 18.87
243 36 1.28 19.56 249 34 0.18 18.71 211 33 1.17 17.75 197 33 0.04 18.87 190 32 5.83 18.09
249 34 0.18 18.71 211 33 1.17 17.75 197 33 0.04 18.87 190 32 5.83 18.09 195 32 1.11 19.74
211 33 1.17 17.75 197 33 0.04 18.87 190 32 5.83 18.09 195 32 1.11 19.74 227 32 1.39 19.54
197 33 0.04 18.87 190 32 5.83 18.09 195 32 1.11 19.74 227 32 1.39 19.54 195 32 1.26 20.02
190 32 5.83 18.09 195 32 1.11 19.74 227 32 1.39 19.54 195 32 1.26 20.02 173 32 0.04 19.69
195 32 1.11 19.74 227 32 1.39 19.54 195 32 1.26 20.02 173 32 0.04 19.69 189 32 7.52 20.13
227 32 1.39 19.54 195 32 1.26 20.02 173 32 0.04 19.69 189 32 7.52 20.13 193 33 0.05 20.61
195 32 1.26 20.02 173 32 0.04 19.69 189 32 7.52 20.13 193 33 0.05 20.61 227 36 0.69 21.11
173 32 0.04 19.69 189 32 7.52 20.13 193 33 0.05 20.61 227 36 0.69 21.11 239 40 0.81 21.43
189 32 7.52 20.13 193 33 0.05 20.61 227 36 0.69 21.11 239 40 0.81 21.43 251 35 1.39 18.88
193 33 0.05 20.61 227 36 0.69 21.11 239 40 0.81 21.43 251 35 1.39 18.88 197 34 0.33 18.27
227 36 0.69 21.11 239 40 0.81 21.43 251 35 1.39 18.88 197 34 0.33 18.27 190 34 0.05 18.53
239 40 0.81 21.43 251 35 1.39 18.88 197 34 0.33 18.27 190 34 0.05 18.53 179 34 2.8 21.34
251 35 1.39 18.88 197 34 0.33 18.27 190 34 0.05 18.53 179 34 2.8 21.34 184 34 0.08 19.84
197 34 0.33 18.27 190 34 0.05 18.53 179 34 2.8 21.34 184 34 0.08 19.84 207 34 0.66 20.21
190 34 0.05 18.53 179 34 2.8 21.34 184 34 0.08 19.84 207 34 0.66 20.21 199 34 0.17 20.43
179 34 2.8 21.34 184 34 0.08 19.84 207 34 0.66 20.21 199 34 0.17 20.43 201 33 0.11 19.98
184 34 0.08 19.84 207 34 0.66 20.21 199 34 0.17 20.43 201 33 0.11 19.98 192 34 1.77 20.24
207 34 0.66 20.21 199 34 0.17 20.43 201 33 0.11 19.98 192 34 1.77 20.24 180 34 0.28 20.56
199 34 0.17 20.43 201 33 0.11 19.98 192 34 1.77 20.24 180 34 0.28 20.56 186 33 0.02 19.79
201 33 0.11 19.98 192 34 1.77 20.24 180 34 0.28 20.56 186 33 0.02 19.79 213 33 0.86 20.79
192 34 1.77 20.24 180 34 0.28 20.56 186 33 0.02 19.79 213 33 0.86 20.79 219 33 1.55 20.11
180 34 0.28 20.56 186 33 0.02 19.79 213 33 0.86 20.79 219 33 1.55 20.11 173 34 0.04 18.63
186 33 0.02 19.79 213 33 0.86 20.79 219 33 1.55 20.11 173 34 0.04 18.63 189 35 0.33 20.16
213 33 0.86 20.79 219 33 1.55 20.11 173 34 0.04 18.63 189 35 0.33 20.16 161 34 1.11 19.98
219 33 1.55 20.11 173 34 0.04 18.63 189 35 0.33 20.16 161 34 1.11 19.98 176 32 2.06 18.41
173 34 0.04 18.63 189 35 0.33 20.16 161 34 1.11 19.98 176 32 2.06 18.41 211 33 0.57 20.29
189 35 0.33 20.16 161 34 1.11 19.98 176 32 2.06 18.41 211 33 0.57 20.29 225 35 1.11 21.2
161 34 1.11 19.98 176 32 2.06 18.41 211 33 0.57 20.29 225 35 1.11 21.2 189 35 0.09 21.62
176 32 2.06 18.41 211 33 0.57 20.29 225 35 1.11 21.2 189 35 0.09 21.62 226 33 0.96 19.98
211 33 0.57 20.29 225 35 1.11 21.2 189 35 0.09 21.62 226 33 0.96 19.98 186 34 0.07 20.74
225 35 1.11 21.2 189 35 0.09 21.62 226 33 0.96 19.98 186 34 0.07 20.74 190 35 0.11 19.63
189 35 0.09 21.62 226 33 0.96 19.98 186 34 0.07 20.74 190 35 0.11 19.63 210 31 1.31 19.86
226 33 0.96 19.98 186 34 0.07 20.74 190 35 0.11 19.63 210 31 1.31 19.86 180 32 0.19 19.62
186 34 0.07 20.74 190 35 0.11 19.63 210 31 1.31 19.86 180 32 0.19 19.62 177 33 0.03 20.32
190 35 0.11 19.63 210 31 1.31 19.86 180 32 0.19 19.62 177 33 0.03 20.32 187 35 0.19 20.27
210 31 1.31 19.86 180 32 0.19 19.62 177 33 0.03 20.32 187 35 0.19 20.27 190 34 0.04 21.56
180 32 0.19 19.62 177 33 0.03 20.32 187 35 0.19 20.27 190 34 0.04 21.56 194 37 0.08 21.43
177 33 0.03 20.32 187 35 0.19 20.27 190 34 0.04 21.56 194 37 0.08 21.43 195 34 0.31 20.93
187 35 0.19 20.27 190 34 0.04 21.56 194 37 0.08 21.43 195 34 0.31 20.93 206 34 0.22 20.82
190 34 0.04 21.56 194 37 0.08 21.43 195 34 0.31 20.93 206 34 0.22 20.82 223 33 0.44 20.85
194 37 0.08 21.43 195 34 0.31 20.93 206 34 0.22 20.82 223 33 0.44 20.85 217 37 0.13 21.69
195 34 0.31 20.93 206 34 0.22 20.82 223 33 0.44 20.85 217 37 0.13 21.69 213 34 0.16 21.14
206 34 0.22 20.82 223 33 0.44 20.85 217 37 0.13 21.69 213 34 0.16 21.14 233 35 0.93 20.56
223 33 0.44 20.85 217 37 0.13 21.69 213 34 0.16 21.14 233 35 0.93 20.56 215 34 0.16 20.59
217 37 0.13 21.69 213 34 0.16 21.14 233 35 0.93 20.56 215 34 0.16 20.59 204 33 0.12 19.94
213 34 0.16 21.14 233 35 0.93 20.56 215 34 0.16 20.59 204 33 0.12 19.94 207 33 0.03 20.8
233 35 0.93 20.56 215 34 0.16 20.59 204 33 0.12 19.94 207 33 0.03 20.8 230 33 0.72 20.61
215 34 0.16 20.59 204 33 0.12 19.94 207 33 0.03 20.8 230 33 0.72 20.61 207 35 0.2 19.86
204 33 0.12 19.94 207 33 0.03 20.8 230 33 0.72 20.61 207 35 0.2 19.86 237 33 0.54 19.96
207 33 0.03 20.8 230 33 0.72 20.61 207 35 0.2 19.86 237 33 0.54 19.96 198 34 0.04 20.71
230 33 0.72 20.61 207 35 0.2 19.86 237 33 0.54 19.96 198 34 0.04 20.71 209 33 0.17 19.99
207 35 0.2 19.86 237 33 0.54 19.96 198 34 0.04 20.71 209 33 0.17 19.99 222 33 0.14 20.75
237 33 0.54 19.96 198 34 0.04 20.71 209 33 0.17 19.99 222 33 0.14 20.75 200 34 0.08 20.66
198 34 0.04 20.71 209 33 0.17 19.99 222 33 0.14 20.75 200 34 0.08 20.66 220 35 1.2 19.79
209 33 0.17 19.99 222 33 0.14 20.75 200 34 0.08 20.66 220 35 1.2 19.79 219 33 0.06 19.58
222 33 0.14 20.75 200 34 0.08 20.66 220 35 1.2 19.79 219 33 0.06 19.58 200 32 0.05 19.49
200 34 0.08 20.66 220 35 1.2 19.79 219 33 0.06 19.58 200 32 0.05 19.49 209 33 0.17 20.88
220 35 1.2 19.79 219 33 0.06 19.58 200 32 0.05 19.49 209 33 0.17 20.88 230 33 0.92 20.32
219 33 0.06 19.58 200 32 0.05 19.49 209 33 0.17 20.88 230 33 0.92 20.32 208 35 0.28 20.05
200 32 0.05 19.49 209 33 0.17 20.88 230 33 0.92 20.32 208 35 0.28 20.05 226 35 1.16 21.38
209 33 0.17 20.88 230 33 0.92 20.32 208 35 0.28 20.05 226 35 1.16 21.38 204 35 0.17 21.29
230 33 0.92 20.32 208 35 0.28 20.05 226 35 1.16 21.38 204 35 0.17 21.29 248 34 1.39 21.19
208 35 0.28 20.05 226 35 1.16 21.38 204 35 0.17 21.29 248 34 1.39 21.19 203 32 0.13 19.93
226 35 1.16 21.38 204 35 0.17 21.29 248 34 1.39 21.19 203 32 0.13 19.93 229 35 1.67 20.34
204 35 0.17 21.29 248 34 1.39 21.19 203 32 0.13 19.93 229 35 1.67 20.34 212 32 0.32 19.15
248 34 1.39 21.19 203 32 0.13 19.93 229 35 1.67 20.34 212 32 0.32 19.15 223 32 1.45 18.5
203 32 0.13 19.93 229 35 1.67 20.34 212 32 0.32 19.15 223 32 1.45 18.5 214 32 0.49 19.52
229 35 1.67 20.34 212 32 0.32 19.15 223 32 1.45 18.5 214 32 0.49 19.52 197 32 0.44 19.91
212 32 0.32 19.15 223 32 1.45 18.5 214 32 0.49 19.52 197 32 0.44 19.91 196 32 0.24 19.82
223 32 1.45 18.5 214 32 0.49 19.52 197 32 0.44 19.91 196 32 0.24 19.82 187 31 0.46 19.94
214 32 0.49 19.52 197 32 0.44 19.91 196 32 0.24 19.82 187 31 0.46 19.94 203 34 0.6 22.87
