time_index,Nb process http,Cpu http,Cpu global
2020-08-28 08:20:00,243.0,0.06,6.8
2020-08-28 08:21:00,234.0,0.15,7.67
2020-08-28 08:22:00,262.0,0.14,7.66
2020-08-28 08:23:00,254.0,0.09,11.68
2020-08-28 08:24:00,241.0,0.01,9.87
2020-08-28 08:25:00,259.0,0.11,10.38
2020-08-28 08:26:00,262.0,0.12,9.8
2020-08-28 08:27:00,253.0,0.06,8.81
2020-08-28 08:28:00,261.0,0.08,9.81
2020-08-28 08:29:00,243.0,0.26,8.55
2020-08-28 08:30:00,262.0,0.21,8.66
2020-08-28 08:31:00,260.0,0.03,8.91
2020-08-28 08:32:00,230.0,0.03,9.89
2020-08-28 08:33:00,219.0,0.39,8.13
2020-08-28 08:34:00,252.0,0.34,7.27
2020-08-28 08:35:00,262.0,0.04,6.77
2020-08-28 08:36:00,244.0,0.14,8.27
2020-08-28 08:37:00,253.0,0.11,10.16
2020-08-28 08:38:00,253.0,0.07,8.55
2020-08-28 08:39:00,231.0,0.12,7.8
2020-08-28 08:40:00,263.0,0.05,7.46
2020-08-28 08:41:00,240.0,0.17,7.19
2020-08-28 08:42:00,241.0,0.36,6.43
2020-08-28 08:43:00,252.0,0.04,6.56
2020-08-28 08:44:00,246.0,0.04,7.02
2020-08-28 08:45:00,233.0,0.11,8.43
2020-08-28 08:46:00,250.0,0.1,10.21
2020-08-28 08:47:00,235.0,0.1,9.68
2020-08-28 08:48:00,252.0,0.35,13.57
2020-08-28 08:49:00,262.0,0.11,11.82
2020-08-28 08:50:00,242.0,0.14,11.98
2020-08-28 08:51:00,246.0,0.19,10.46
2020-08-28 08:52:00,257.0,0.12,10.97
2020-08-28 08:53:00,241.0,0.15,11.26
2020-08-28 08:54:00,247.0,0.31,10.45
2020-08-28 08:55:00,267.0,0.05,9.78
2020-08-28 08:56:00,254.0,0.05,10.89
2020-08-28 08:57:00,259.0,0.04,10.62
2020-08-28 08:58:00,265.0,0.04,9.94
2020-08-28 08:59:00,269.0,0.11,10.38
2020-08-28 09:00:00,269.0,0.12,10.08
2020-08-28 09:01:00,267.0,0.17,11.62
2020-08-28 09:02:00,259.0,0.09,10.26
2020-08-28 09:03:00,260.0,0.03,9.82
2020-08-28 09:04:00,268.0,0.08,11.36
2020-08-28 09:05:00,266.0,0.03,13.94
2020-08-28 09:06:00,260.0,0.1,12.8
2020-08-28 09:07:00,261.0,0.03,11.35
2020-08-28 09:08:00,249.0,0.02,10.27
2020-08-28 09:09:00,262.0,0.24,11.38
2020-08-28 09:10:00,263.0,0.46,9.05
2020-08-28 09:11:00,258.0,0.26,8.77
2020-08-28 09:12:00,240.0,0.18,9.0
2020-08-28 09:13:00,267.0,0.01,9.41
2020-08-28 09:14:00,243.0,0.19,9.89
2020-08-28 09:15:00,243.0,0.12,8.98
2020-08-28 09:16:00,263.0,0.04,9.98
2020-08-28 09:17:00,253.0,0.33,9.68
2020-08-28 09:18:00,265.0,0.03,8.75
2020-08-28 09:19:00,266.0,0.22,10.1
2020-08-28 09:20:00,263.0,0.17,9.79
2020-08-28 09:21:00,268.0,0.06,9.42
2020-08-28 09:22:00,275.0,0.09,11.95
2020-08-28 09:23:00,263.0,0.47,13.9
2020-08-28 09:24:00,263.0,0.14,11.89
2020-08-28 09:25:00,265.0,0.23,10.06
2020-08-28 09:26:00,250.0,0.05,10.4
2020-08-28 09:27:00,230.0,0.33,8.49
2020-08-28 09:28:00,253.0,0.11,6.81
2020-08-28 09:29:00,255.0,0.06,8.8
2020-08-28 09:30:00,248.0,0.41,10.4
2020-08-28 09:31:00,267.0,0.41,12.0
2020-08-28 09:32:00,265.0,0.17,10.67
2020-08-28 09:33:00,264.0,0.15,10.06
2020-08-28 09:34:00,268.0,0.14,10.34
2020-08-28 09:35:00,268.0,0.06,9.66
2020-08-28 09:36:00,268.0,0.06,10.55
2020-08-28 09:37:00,272.0,0.09,11.58
2020-08-28 09:38:00,271.0,0.1,12.85
2020-08-28 09:39:00,271.0,0.06,13.41
2020-08-28 09:40:00,277.0,0.05,12.13
2020-08-28 09:41:00,275.0,0.06,10.72
2020-08-28 09:42:00,275.0,0.16,9.83
2020-08-28 09:43:00,281.0,0.19,13.01
2020-08-28 09:44:00,270.0,0.06,12.97
2020-08-28 09:45:00,265.0,0.07,10.18
2020-08-28 09:46:00,275.0,0.29,10.06
2020-08-28 09:47:00,271.0,0.21,8.97
2020-08-28 09:48:00,273.0,0.06,11.24
2020-08-28 09:49:00,274.0,0.25,11.13
2020-08-28 09:50:00,273.0,0.36,14.61
2020-08-28 09:51:00,273.0,0.42,11.4
2020-08-28 09:52:00,267.0,0.03,10.56
2020-08-28 09:53:00,273.0,0.18,10.91
2020-08-28 09:54:00,275.0,0.0,10.78
2020-08-28 09:55:00,274.0,0.02,15.39
2020-08-28 09:56:00,270.0,0.07,12.97
2020-08-28 09:57:00,274.0,0.01,11.85
2020-08-28 09:58:00,271.0,0.18,9.91
2020-08-28 09:59:00,275.0,0.03,8.94
2020-08-28 10:00:00,246.0,0.32,8.6
2020-08-28 10:01:00,272.0,0.07,10.42
2020-08-28 10:02:00,270.0,0.04,9.24
2020-08-28 10:03:00,273.0,0.09,8.33
2020-08-28 10:04:00,271.0,0.19,9.32
2020-08-28 10:05:00,269.0,0.05,9.07
2020-08-28 10:06:00,234.0,0.16,9.42
2020-08-28 10:07:00,266.0,0.05,9.42
2020-08-28 10:08:00,258.0,0.06,11.02
2020-08-28 10:09:00,246.0,0.37,12.01
2020-08-28 10:10:00,273.0,0.07,12.61
2020-08-28 10:11:00,274.0,0.03,11.9
2020-08-28 10:12:00,256.0,0.16,11.11
2020-08-28 10:13:00,274.0,0.23,10.08
2020-08-28 10:14:00,264.0,0.11,8.7
2020-08-28 10:15:00,270.0,0.03,8.11
2020-08-28 10:16:00,260.0,0.02,9.5
2020-08-28 10:17:00,251.0,0.03,10.89
2020-08-28 10:18:00,239.0,0.39,11.5
2020-08-28 10:19:00,271.0,0.01,11.79
2020-08-28 10:20:00,274.0,0.01,13.81
2020-08-28 10:21:00,238.0,0.04,10.47
2020-08-28 10:22:00,231.0,0.01,9.27
2020-08-28 10:23:00,272.0,0.06,8.86
2020-08-28 10:24:00,253.0,0.19,10.23
2020-08-28 10:25:00,258.0,0.03,11.09
2020-08-28 10:26:00,225.0,0.15,11.23
2020-08-28 10:27:00,223.0,0.17,10.14
2020-08-28 10:28:00,240.0,0.16,11.81
2020-08-28 10:29:00,252.0,0.02,11.15
2020-08-28 10:30:00,239.0,0.1,12.81
2020-08-28 10:31:00,266.0,0.07,17.85
2020-08-28 10:32:00,271.0,0.01,12.88
2020-08-28 10:33:00,273.0,0.01,10.5
2020-08-28 10:34:00,272.0,0.12,11.56
2020-08-28 10:35:00,250.0,0.07,10.4
2020-08-28 10:36:00,251.0,0.03,9.84
2020-08-28 10:37:00,260.0,0.03,11.04
2020-08-28 10:38:00,245.0,0.02,11.69
2020-08-28 10:39:00,242.0,0.01,10.38
2020-08-28 10:40:00,262.0,0.01,11.55
2020-08-28 10:41:00,221.0,0.01,10.76
2020-08-28 10:42:00,219.0,0.07,9.18
2020-08-28 10:43:00,254.0,0.15,12.33
2020-08-28 10:44:00,236.0,0.94,9.65
2020-08-28 10:45:00,245.0,0.16,8.87
2020-08-28 10:46:00,233.0,0.09,8.98
2020-08-28 10:47:00,242.0,0.48,11.06
2020-08-28 10:48:00,253.0,0.21,11.07
2020-08-28 10:49:00,249.0,0.57,11.67
2020-08-28 10:50:00,253.0,0.44,12.14
2020-08-28 10:51:00,263.0,0.03,12.46
2020-08-28 10:52:00,253.0,0.06,12.85
2020-08-28 10:53:00,249.0,0.2,11.92
2020-08-28 10:54:00,247.0,0.04,10.6
2020-08-28 10:55:00,256.0,0.6,9.91
2020-08-28 10:56:00,263.0,0.55,11.45
2020-08-28 10:57:00,258.0,0.28,12.24
2020-08-28 10:58:00,251.0,1.26,12.06
2020-08-28 10:59:00,266.0,0.93,12.66
2020-08-28 11:00:00,241.0,0.06,12.47
2020-08-28 11:01:00,251.0,0.33,13.06
2020-08-28 11:02:00,266.0,0.03,11.62
2020-08-28 11:03:00,245.0,0.01,10.3
2020-08-28 11:04:00,246.0,0.04,12.77
2020-08-28 11:05:00,249.0,0.06,11.43
2020-08-28 11:06:00,231.0,1.1,9.37
2020-08-28 11:07:00,241.0,0.02,9.99
2020-08-28 11:08:00,221.0,0.33,8.74
2020-08-28 11:09:00,220.0,0.39,9.21
2020-08-28 11:10:00,264.0,0.07,8.58
2020-08-28 11:11:00,245.0,0.03,10.95
2020-08-28 11:12:00,227.0,0.02,9.93
2020-08-28 11:13:00,230.0,0.03,10.19
2020-08-28 11:14:00,221.0,0.04,10.56
2020-08-28 11:15:00,244.0,0.36,9.22
2020-08-28 11:16:00,268.0,0.01,11.73
2020-08-28 11:17:00,251.0,0.03,13.19
2020-08-28 11:18:00,252.0,0.09,11.39
2020-08-28 11:19:00,261.0,0.05,10.57
2020-08-28 11:20:00,260.0,0.16,9.81
2020-08-28 11:21:00,257.0,1.64,10.28
2020-08-28 11:22:00,270.0,0.14,9.19
2020-08-28 11:23:00,255.0,0.01,9.08
2020-08-28 11:24:00,241.0,0.01,12.53
2020-08-28 11:25:00,246.0,0.01,10.62
2020-08-28 11:26:00,266.0,0.47,12.78
2020-08-28 11:27:00,257.0,0.02,10.84
2020-08-28 11:28:00,266.0,0.03,10.27
2020-08-28 11:29:00,268.0,0.02,9.96
2020-08-28 11:30:00,248.0,0.04,11.84
2020-08-28 11:31:00,266.0,0.04,10.88
2020-08-28 11:32:00,250.0,0.03,10.05
2020-08-28 11:33:00,229.0,0.22,10.18
2020-08-28 11:34:00,241.0,0.04,9.7
2020-08-28 11:35:00,244.0,0.12,10.1
2020-08-28 11:36:00,248.0,0.5,9.99
2020-08-28 11:37:00,258.0,0.05,8.44
2020-08-28 11:38:00,250.0,0.03,8.31
2020-08-28 11:39:00,268.0,0.02,8.49
2020-08-28 11:40:00,256.0,0.04,7.98
2020-08-28 11:41:00,242.0,0.51,9.87
2020-08-28 11:42:00,265.0,0.02,10.71
2020-08-28 11:43:00,256.0,0.15,11.1
2020-08-28 11:44:00,268.0,0.01,10.16
2020-08-28 11:45:00,247.0,0.02,9.79
2020-08-28 11:46:00,244.0,0.07,9.41
2020-08-28 11:47:00,237.0,1.14,9.52
2020-08-28 11:48:00,252.0,0.09,8.36
2020-08-28 11:49:00,239.0,0.11,8.04
2020-08-28 11:50:00,230.0,1.31,10.4
2020-08-28 11:51:00,245.0,0.06,9.98
2020-08-28 11:52:00,272.0,0.03,10.32
2020-08-28 11:53:00,241.0,0.51,9.95
2020-08-28 11:54:00,264.0,0.14,11.95
2020-08-28 11:55:00,250.0,0.1,11.74
2020-08-28 11:56:00,259.0,0.03,10.51
2020-08-28 11:57:00,255.0,0.01,11.21
2020-08-28 11:58:00,261.0,0.02,10.96
2020-08-28 11:59:00,248.0,0.62,9.26
2020-08-28 12:00:00,263.0,1.24,10.84
2020-08-28 12:01:00,272.0,0.01,13.52
2020-08-28 12:02:00,258.0,0.02,9.84
2020-08-28 12:03:00,258.0,0.05,10.43
2020-08-28 12:04:00,263.0,0.05,13.95
2020-08-28 12:05:00,261.0,0.14,10.72
2020-08-28 12:06:00,263.0,0.03,9.4
2020-08-28 12:07:00,263.0,0.04,11.91
2020-08-28 12:08:00,237.0,11.55,10.4
2020-08-28 12:09:00,257.0,0.2,9.88
2020-08-28 12:10:00,273.0,0.83,11.16
2020-08-28 12:11:00,260.0,0.02,11.62
2020-08-28 12:12:00,252.0,0.04,10.62
2020-08-28 12:13:00,273.0,0.01,10.83
2020-08-28 12:14:00,244.0,0.05,12.6
2020-08-28 12:15:00,250.0,0.03,12.95
2020-08-28 12:16:00,254.0,1.43,12.64
2020-08-28 12:17:00,257.0,0.17,10.46
2020-08-28 12:18:00,273.0,0.21,14.04
2020-08-28 12:19:00,272.0,0.03,14.88
2020-08-28 12:20:00,268.0,0.09,13.31
2020-08-28 12:21:00,270.0,0.51,14.36
2020-08-28 12:22:00,258.0,0.26,12.2
2020-08-28 12:23:00,274.0,0.01,19.56
2020-08-28 12:24:00,253.0,0.01,14.72
2020-08-28 12:25:00,269.0,0.04,12.75
2020-08-28 12:26:00,260.0,0.61,11.72
2020-08-28 12:27:00,249.0,1.11,12.93
2020-08-28 12:28:00,239.0,0.42,12.11
2020-08-28 12:29:00,256.0,0.03,11.86
2020-08-28 12:30:00,257.0,0.03,12.96
2020-08-28 12:31:00,232.0,0.68,11.77
2020-08-28 12:32:00,250.0,0.07,11.95
2020-08-28 12:33:00,263.0,0.06,11.17
2020-08-28 12:34:00,260.0,0.07,11.46
2020-08-28 12:35:00,263.0,0.03,11.06
2020-08-28 12:36:00,268.0,0.04,10.34
2020-08-28 12:37:00,276.0,0.04,12.19
2020-08-28 12:38:00,279.0,0.02,15.99
2020-08-28 12:39:00,265.0,0.02,12.81
2020-08-28 12:40:00,277.0,0.15,12.5
2020-08-28 12:41:00,259.0,0.02,11.34
2020-08-28 12:42:00,265.0,0.02,11.03
2020-08-28 12:43:00,260.0,0.71,12.15
2020-08-28 12:44:00,270.0,0.13,11.43
2020-08-28 12:45:00,278.0,0.02,11.56
2020-08-28 12:46:00,262.0,0.03,13.01
2020-08-28 12:47:00,227.0,0.39,11.15
2020-08-28 12:48:00,249.0,0.36,9.15
2020-08-28 12:49:00,259.0,0.01,10.93
2020-08-28 12:50:00,255.0,0.04,10.18
2020-08-28 12:51:00,243.0,0.25,11.88
2020-08-28 12:52:00,243.0,1.16,12.44
2020-08-28 12:53:00,261.0,1.02,12.74
2020-08-28 12:54:00,274.0,0.23,13.75
2020-08-28 12:55:00,275.0,0.03,12.74
2020-08-28 12:56:00,278.0,0.25,12.65
2020-08-28 12:57:00,268.0,0.01,11.31
2020-08-28 12:58:00,278.0,0.02,11.32
2020-08-28 12:59:00,265.0,0.03,11.96
2020-08-28 13:00:00,270.0,0.39,11.93
2020-08-28 13:01:00,270.0,0.07,10.41
2020-08-28 13:02:00,274.0,0.05,9.61
2020-08-28 13:03:00,270.0,0.14,10.01
2020-08-28 13:04:00,278.0,0.68,12.36
2020-08-28 13:05:00,272.0,0.02,11.74
2020-08-28 13:06:00,270.0,0.05,10.99
2020-08-28 13:07:00,257.0,0.04,11.92
2020-08-28 13:08:00,251.0,0.03,10.92
2020-08-28 13:09:00,239.0,0.02,10.55
2020-08-28 13:10:00,237.0,0.57,9.08
2020-08-28 13:11:00,273.0,0.01,10.02
2020-08-28 13:12:00,266.0,0.38,10.13
2020-08-28 13:13:00,263.0,0.02,11.7
2020-08-28 13:14:00,271.0,0.06,11.68
2020-08-28 13:15:00,252.0,2.49,11.25
2020-08-28 13:16:00,272.0,0.07,11.49
2020-08-28 13:17:00,271.0,0.94,10.44
2020-08-28 13:18:00,268.0,0.24,10.96
2020-08-28 13:19:00,258.0,4.75,10.22
2020-08-28 13:20:00,278.0,0.1,11.08
2020-08-28 13:21:00,261.0,0.19,10.33
2020-08-28 13:22:00,272.0,0.16,9.26
2020-08-28 13:23:00,267.0,0.11,9.93
2020-08-28 13:24:00,272.0,0.04,12.16
2020-08-28 13:25:00,283.0,0.01,13.51
2020-08-28 13:26:00,277.0,0.04,14.13
2020-08-28 13:27:00,273.0,0.07,13.16
2020-08-28 13:28:00,280.0,0.19,13.05
2020-08-28 13:29:00,281.0,0.06,11.81
2020-08-28 13:30:00,284.0,0.04,12.44
2020-08-28 13:31:00,278.0,0.03,11.35
2020-08-28 13:32:00,280.0,0.04,10.5
2020-08-28 13:33:00,274.0,0.03,12.33
2020-08-28 13:34:00,270.0,1.05,12.07
2020-08-28 13:35:00,276.0,0.03,10.87
2020-08-28 13:36:00,258.0,0.87,10.67
2020-08-28 13:37:00,271.0,0.05,13.3
2020-08-28 13:38:00,273.0,1.02,13.81
2020-08-28 13:39:00,272.0,0.03,10.97
2020-08-28 13:40:00,281.0,0.03,14.04
2020-08-28 13:41:00,274.0,0.02,13.27
2020-08-28 13:42:00,276.0,0.01,11.1
2020-08-28 13:43:00,278.0,0.03,9.89
2020-08-28 13:44:00,232.0,1.29,9.11
2020-08-28 13:45:00,272.0,0.1,12.42
2020-08-28 13:46:00,271.0,0.02,11.8
2020-08-28 13:47:00,273.0,0.03,11.05
2020-08-28 13:48:00,269.0,0.03,15.48
2020-08-28 13:49:00,279.0,0.02,15.88
2020-08-28 13:50:00,274.0,0.03,15.36
2020-08-28 13:51:00,276.0,0.01,13.87
2020-08-28 13:52:00,274.0,0.02,16.11
2020-08-28 13:53:00,272.0,1.31,13.52
2020-08-28 13:54:00,274.0,0.03,12.25
2020-08-28 13:55:00,267.0,0.03,12.42
2020-08-28 13:56:00,269.0,0.13,11.23
2020-08-28 13:57:00,276.0,0.03,12.7
2020-08-28 13:58:00,279.0,0.04,13.62
2020-08-28 13:59:00,280.0,0.03,15.4
2020-08-28 14:00:00,279.0,0.04,14.62
2020-08-28 14:01:00,275.0,0.03,14.79
2020-08-28 14:02:00,281.0,0.01,13.06
2020-08-28 14:03:00,283.0,0.01,14.77
2020-08-28 14:04:00,273.0,0.01,13.32
2020-08-28 14:05:00,281.0,0.01,12.96
2020-08-28 14:06:00,280.0,0.01,12.21
2020-08-28 14:07:00,259.0,0.01,12.21
2020-08-28 14:08:00,280.0,0.01,13.52
2020-08-28 14:09:00,282.0,0.0,12.37
2020-08-28 14:10:00,275.0,0.03,11.86
2020-08-28 14:11:00,261.0,0.01,11.33
2020-08-28 14:12:00,274.0,0.0,11.17
2020-08-28 14:13:00,274.0,0.01,13.53
2020-08-28 14:14:00,268.0,0.03,13.9
2020-08-28 14:15:00,275.0,0.02,13.04
2020-08-28 14:16:00,249.0,0.01,12.16
2020-08-28 14:17:00,233.0,0.02,11.09
2020-08-28 14:18:00,278.0,0.09,11.68
2020-08-28 14:19:00,277.0,0.04,11.7
2020-08-28 14:20:00,271.0,0.07,10.32
2020-08-28 14:21:00,269.0,0.03,12.48
2020-08-28 14:22:00,270.0,0.03,11.72
2020-08-28 14:23:00,252.0,0.01,10.16
2020-08-28 14:24:00,281.0,0.01,11.42
2020-08-28 14:25:00,278.0,0.01,10.67
2020-08-28 14:26:00,247.0,0.02,9.28
2020-08-28 14:27:00,278.0,0.03,9.63
2020-08-28 14:28:00,263.0,0.03,8.47
2020-08-28 14:29:00,259.0,0.02,9.68
2020-08-28 14:30:00,273.0,0.03,13.94
2020-08-28 14:31:00,252.0,0.01,11.72
2020-08-28 14:32:00,256.0,0.03,11.04
2020-08-28 14:33:00,283.0,0.05,11.48
2020-08-28 14:34:00,282.0,0.04,12.59
2020-08-28 14:35:00,257.0,0.03,12.9
2020-08-28 14:36:00,268.0,0.02,12.65
2020-08-28 14:37:00,268.0,0.04,13.19
2020-08-28 14:38:00,280.0,0.04,12.94
2020-08-28 14:39:00,245.0,0.03,12.12
2020-08-28 14:40:00,281.0,0.02,11.11
2020-08-28 14:41:00,270.0,0.03,10.95
2020-08-28 14:42:00,265.0,0.0,10.13
2020-08-28 14:43:00,282.0,0.02,11.65
2020-08-28 14:44:00,272.0,0.03,13.32
2020-08-28 14:45:00,280.0,0.01,12.72
2020-08-28 14:46:00,283.0,0.01,11.92
2020-08-28 14:47:00,276.0,0.01,10.69
2020-08-28 14:48:00,281.0,0.01,10.36
2020-08-28 14:49:00,274.0,0.01,9.95
2020-08-28 14:50:00,278.0,0.0,9.82
2020-08-28 14:51:00,284.0,0.01,11.66
2020-08-28 14:52:00,269.0,0.01,10.86
2020-08-28 14:53:00,270.0,0.01,9.97
2020-08-28 14:54:00,274.0,0.02,10.3
2020-08-28 14:55:00,245.0,0.04,10.57
2020-08-28 14:56:00,256.0,0.03,9.98
2020-08-28 14:57:00,266.0,0.13,9.43
2020-08-28 14:58:00,260.0,0.03,9.95
2020-08-28 14:59:00,274.0,0.06,9.03
2020-08-28 15:00:00,271.0,0.04,9.59
2020-08-28 15:01:00,264.0,0.0,8.97
2020-08-28 15:02:00,273.0,0.04,9.81
2020-08-28 15:03:00,272.0,0.02,11.11
2020-08-28 15:04:00,274.0,0.01,10.76
2020-08-28 15:05:00,285.0,0.03,8.52
2020-08-28 15:06:00,271.0,0.01,8.33
2020-08-28 15:07:00,277.0,0.04,8.27
2020-08-28 15:08:00,263.0,0.05,10.23
2020-08-28 15:09:00,286.0,0.05,7.69
2020-08-28 15:10:00,267.0,0.05,8.2
2020-08-28 15:11:00,272.0,0.05,9.52
2020-08-28 15:12:00,283.0,0.01,9.44
2020-08-28 15:13:00,247.0,0.03,7.84
2020-08-28 15:14:00,238.0,0.03,7.82
2020-08-28 15:15:00,270.0,0.07,8.17
2020-08-28 15:16:00,247.0,0.01,10.02
2020-08-28 15:17:00,259.0,0.04,8.34
2020-08-28 15:18:00,270.0,0.03,8.83
2020-08-28 15:19:00,277.0,0.06,8.4
2020-08-28 15:20:00,239.0,0.03,10.4
2020-08-28 15:21:00,257.0,0.12,9.46
2020-08-28 15:22:00,268.0,0.04,7.93
2020-08-28 15:23:00,217.0,0.03,9.91
2020-08-28 15:24:00,239.0,0.02,8.62
2020-08-28 15:25:00,250.0,0.14,8.76
2020-08-28 15:26:00,234.0,0.05,7.77
2020-08-28 15:27:00,250.0,0.06,6.5
2020-08-28 15:28:00,217.0,0.01,6.97
2020-08-28 15:29:00,235.0,0.09,7.16
2020-08-28 15:30:00,226.0,0.03,8.81
2020-08-28 15:31:00,229.0,0.04,9.08
2020-08-28 15:32:00,242.0,0.06,7.45
2020-08-28 15:33:00,243.0,0.03,10.14
2020-08-28 15:34:00,223.0,0.03,9.92
2020-08-28 15:35:00,199.0,0.03,9.15
2020-08-28 15:36:00,211.0,0.16,9.06
2020-08-28 15:37:00,209.0,0.04,9.33
2020-08-28 15:38:00,182.0,0.02,8.23
2020-08-28 15:39:00,189.0,0.03,8.0
2020-08-28 15:40:00,220.0,0.03,8.06
2020-08-28 15:41:00,208.0,0.01,8.31
2020-08-28 15:42:00,225.0,0.09,8.0
2020-08-28 15:43:00,223.0,0.04,7.67
2020-08-28 15:44:00,189.0,0.01,8.08
2020-08-28 15:45:00,231.0,0.03,8.14
2020-08-28 15:46:00,220.0,0.03,9.32
2020-08-28 15:47:00,233.0,0.19,10.01
2020-08-28 15:48:00,243.0,0.06,10.79
2020-08-28 15:49:00,253.0,0.04,9.12
2020-08-28 15:50:00,225.0,0.04,9.23
2020-08-28 15:51:00,227.0,0.04,7.86
2020-08-28 15:52:00,208.0,0.04,8.52
2020-08-28 15:53:00,220.0,0.08,8.59
2020-08-28 15:54:00,214.0,0.04,9.69
2020-08-28 15:55:00,224.0,0.07,10.27
2020-08-28 15:56:00,235.0,0.03,8.32
2020-08-28 15:57:00,233.0,0.01,7.75
2020-08-28 15:58:00,208.0,0.02,10.13
2020-08-28 15:59:00,197.0,0.03,11.45
2020-08-28 16:00:00,218.0,0.04,9.13
2020-08-28 16:01:00,204.0,0.03,8.86
2020-08-28 16:02:00,174.0,0.01,7.48
2020-08-28 16:03:00,195.0,0.03,6.52
2020-08-28 16:04:00,169.0,0.03,6.5
2020-08-28 16:05:00,187.0,0.04,6.66
2020-08-28 16:06:00,198.0,0.04,7.29
2020-08-28 16:07:00,190.0,0.04,7.45
2020-08-28 16:08:00,207.0,0.12,6.23
2020-08-28 16:09:00,204.0,0.09,6.09
2020-08-28 16:10:00,186.0,0.03,7.95
2020-08-28 16:11:00,166.0,0.05,6.15
2020-08-28 16:12:00,177.0,0.07,5.1
2020-08-28 16:13:00,187.0,0.11,6.07
2020-08-28 16:14:00,153.0,0.03,7.26
2020-08-28 16:15:00,199.0,0.33,6.18
2020-08-28 16:16:00,175.0,0.04,5.81
2020-08-28 16:17:00,160.0,0.02,5.07
2020-08-28 16:18:00,176.0,0.23,4.5
2020-08-28 16:19:00,186.0,0.14,5.0
2020-08-28 16:20:00,154.0,0.06,5.96
2020-08-28 16:21:00,204.0,0.16,6.22
2020-08-28 16:22:00,188.0,0.07,6.71
2020-08-28 16:23:00,172.0,0.01,5.84
2020-08-28 16:24:00,190.0,0.15,4.91
2020-08-28 16:25:00,185.0,0.04,5.37
2020-08-28 16:26:00,175.0,0.05,6.06
2020-08-28 16:27:00,191.0,0.23,4.93
2020-08-28 16:28:00,213.0,0.11,5.89
2020-08-28 16:29:00,192.0,0.05,4.87
2020-08-28 16:30:00,182.0,0.04,5.38
2020-08-28 16:31:00,225.0,0.3,4.74
2020-08-28 16:32:00,175.0,0.1,4.7
2020-08-28 16:33:00,219.0,0.26,4.63
2020-08-28 16:34:00,175.0,0.01,3.99
2020-08-28 16:35:00,188.0,0.16,5.02
2020-08-28 16:36:00,182.0,0.03,5.14
2020-08-28 16:37:00,168.0,0.08,4.96
2020-08-28 16:38:00,178.0,0.2,4.49
2020-08-28 16:39:00,187.0,0.19,4.4
2020-08-28 16:40:00,197.0,0.16,5.04
2020-08-28 16:41:00,173.0,0.04,4.88
2020-08-28 16:42:00,164.0,0.05,5.47
2020-08-28 16:43:00,176.0,0.2,4.5
2020-08-28 16:44:00,177.0,0.06,4.9
2020-08-28 16:45:00,186.0,0.16,4.86
2020-08-28 16:46:00,209.0,0.26,4.24
2020-08-28 16:47:00,160.0,0.05,3.98
2020-08-28 16:48:00,174.0,0.12,4.61
2020-08-28 16:49:00,184.0,0.09,5.51
2020-08-28 16:50:00,181.0,0.09,4.86
2020-08-28 16:51:00,184.0,0.04,4.63
2020-08-28 16:52:00,166.0,0.03,4.01
2020-08-28 16:53:00,195.0,0.18,4.15
2020-08-28 16:54:00,202.0,0.08,4.49
2020-08-28 16:55:00,212.0,0.21,4.3
