,Net In Global,Nb process http,Nb process php,Nb connection mysql,Cpu http,Cpu php,Cpu global
2020-09-11 20:15:00,0.07,206.0,34.0,52.0,0.17,18.58,8.38
2020-09-11 20:16:00,0.08,223.0,39.0,52.0,0.49,20.06,8.0
2020-09-11 20:17:00,0.08,233.0,32.0,49.0,0.83,17.51,8.51
2020-09-11 20:18:00,0.08,243.0,33.0,50.0,0.81,17.94,7.27
2020-09-11 20:19:00,0.1,209.0,34.0,41.0,0.07,18.35,7.82
2020-09-11 20:20:00,0.09,231.0,34.0,52.0,0.4,19.12,9.37
2020-09-11 20:21:00,0.09,201.0,32.0,43.0,0.06,17.21,8.58
2020-09-11 20:22:00,0.08,215.0,32.0,47.0,0.41,16.86,8.43
2020-09-11 20:23:00,0.07,224.0,33.0,51.0,0.67,17.78,6.83
2020-09-11 20:24:00,0.07,223.0,32.0,53.0,0.21,17.41,7.65
2020-09-11 20:25:00,0.07,233.0,32.0,61.0,1.23,17.93,6.64
2020-09-11 20:26:00,0.07,195.0,34.0,50.0,0.19,18.34,8.4
2020-09-11 20:27:00,0.07,213.0,34.0,50.0,0.69,18.88,6.54
2020-09-11 20:28:00,0.09,222.0,33.0,49.0,1.14,17.61,7.64
2020-09-11 20:29:00,0.1,231.0,34.0,48.0,0.89,18.29,7.55
2020-09-11 20:30:00,0.09,212.0,33.0,57.0,0.21,18.44,6.02
2020-09-11 20:31:00,0.09,198.0,32.0,54.0,0.21,17.31,4.99
2020-09-11 20:32:00,0.09,216.0,32.0,48.0,1.04,17.45,4.91
2020-09-11 20:33:00,0.08,181.0,32.0,45.0,0.14,17.34,6.58
2020-09-11 20:34:00,0.08,218.0,33.0,56.0,0.96,18.21,7.41
2020-09-11 20:35:00,0.06,230.0,33.0,46.0,0.99,17.89,7.89
2020-09-11 20:36:00,0.07,241.0,32.0,46.0,1.21,17.52,5.78
2020-09-11 20:37:00,0.06,196.0,32.0,42.0,0.16,17.2,5.79
2020-09-11 20:38:00,0.08,219.0,33.0,44.0,0.96,17.47,5.96
2020-09-11 20:39:00,0.1,200.0,35.0,58.0,0.15,18.79,8.75
2020-09-11 20:40:00,0.09,216.0,33.0,45.0,0.66,18.42,7.27
2020-09-11 20:41:00,0.09,212.0,32.0,51.0,0.17,17.15,6.36
2020-09-11 20:42:00,0.08,212.0,32.0,51.0,0.53,17.33,6.35
2020-09-11 20:43:00,0.08,244.0,36.0,46.0,1.26,19.48,6.96
2020-09-11 20:44:00,0.07,228.0,35.0,45.0,0.4,18.77,7.68
2020-09-11 20:45:00,0.06,206.0,34.0,42.0,0.05,17.91,6.84
2020-09-11 20:46:00,0.07,225.0,35.0,43.0,0.71,18.31,6.55
2020-09-11 20:47:00,0.08,219.0,36.0,43.0,0.21,19.25,7.31
2020-09-11 20:48:00,0.07,184.0,34.0,44.0,0.38,17.53,5.3
2020-09-11 20:49:00,0.1,230.0,32.0,61.0,1.61,16.83,5.97
2020-09-11 20:50:00,0.08,187.0,32.0,50.0,0.26,17.09,6.96
2020-09-11 20:51:00,0.08,181.0,32.0,51.0,0.17,17.21,5.57
2020-09-11 20:52:00,0.07,219.0,33.0,42.0,0.63,18.39,6.08
2020-09-11 20:53:00,0.07,197.0,36.0,48.0,0.13,19.74,6.2
2020-09-11 20:54:00,0.06,197.0,32.0,48.0,0.69,17.2,5.82
2020-09-11 20:55:00,0.06,190.0,34.0,40.0,0.03,17.86,5.86
2020-09-11 20:56:00,0.08,221.0,33.0,46.0,0.76,17.45,5.05
2020-09-11 20:57:00,0.06,199.0,34.0,46.0,0.17,19.21,5.08
2020-09-11 20:58:00,0.07,199.0,32.0,46.0,0.49,16.66,5.47
2020-09-11 20:59:00,0.1,195.0,31.0,41.0,1.83,16.82,5.76
2020-09-11 21:00:00,0.08,175.0,31.0,54.0,0.82,16.69,5.48
2020-09-11 21:01:00,0.1,176.0,31.0,60.0,0.11,16.73,5.42
2020-09-11 21:02:00,0.08,210.0,34.0,56.0,0.62,18.17,5.58
2020-09-11 21:03:00,0.07,237.0,34.0,56.0,0.43,17.91,4.39
2020-09-11 21:04:00,0.07,214.0,35.0,56.0,0.04,18.82,4.12
2020-09-11 21:05:00,0.07,235.0,34.0,49.0,0.44,17.73,5.94
2020-09-11 21:06:00,0.07,208.0,32.0,47.0,1.81,17.59,5.77
2020-09-11 21:07:00,0.06,203.0,34.0,47.0,0.05,18.78,5.37
2020-09-11 21:08:00,0.08,219.0,33.0,54.0,0.68,17.55,5.42
2020-09-11 21:09:00,0.09,213.0,35.0,50.0,0.09,18.95,6.58
2020-09-11 21:10:00,0.08,184.0,34.0,45.0,0.7,18.75,6.58
2020-09-11 21:11:00,0.1,177.0,32.0,47.0,0.75,17.06,4.95
2020-09-11 21:12:00,0.07,195.0,32.0,52.0,0.16,17.01,4.15
2020-09-11 21:13:00,0.09,185.0,34.0,43.0,0.17,17.92,5.54
2020-09-11 21:14:00,0.07,212.0,33.0,60.0,0.44,17.68,5.53
2020-09-11 21:15:00,0.06,223.0,33.0,47.0,0.83,17.89,7.02
2020-09-11 21:16:00,0.07,236.0,37.0,44.0,0.56,19.7,5.7
2020-09-11 21:17:00,0.1,235.0,39.0,48.0,0.15,20.78,5.45
2020-09-11 21:18:00,0.08,265.0,35.0,66.0,0.96,19.52,4.43
2020-09-11 21:19:00,0.09,222.0,35.0,49.0,0.08,19.41,5.18
2020-09-11 21:20:00,0.07,212.0,35.0,46.0,0.74,20.06,6.82
2020-09-11 21:21:00,0.1,223.0,36.0,54.0,0.06,19.37,5.49
2020-09-11 21:22:00,0.07,196.0,34.0,40.0,1.14,19.87,6.29
2020-09-11 21:23:00,0.08,203.0,33.0,50.0,0.53,18.46,5.15
2020-09-11 21:24:00,0.07,221.0,36.0,47.0,0.11,20.38,6.38
2020-09-11 21:25:00,0.06,217.0,35.0,48.0,0.17,21.68,6.01
2020-09-11 21:26:00,0.08,203.0,36.0,53.0,1.18,20.14,7.56
2020-09-11 21:27:00,0.14,215.0,32.0,52.0,0.12,17.57,7.12
2020-09-11 21:28:00,0.07,202.0,34.0,42.0,4.34,18.7,6.08
2020-09-11 21:29:00,0.1,231.0,35.0,47.0,0.06,19.87,6.17
2020-09-11 21:30:00,0.07,211.0,32.0,50.0,0.21,17.68,5.06
2020-09-11 21:31:00,0.09,197.0,32.0,43.0,0.14,16.97,4.41
2020-09-11 21:32:00,0.08,213.0,34.0,48.0,0.45,17.94,5.06
2020-09-11 21:33:00,0.08,202.0,32.0,45.0,0.21,17.36,4.23
2020-09-11 21:34:00,0.08,217.0,33.0,47.0,1.26,18.85,5.76
2020-09-11 21:35:00,0.06,214.0,31.0,44.0,0.26,17.17,3.95
2020-09-11 21:36:00,0.09,230.0,35.0,44.0,1.02,18.82,7.83
2020-09-11 21:37:00,0.1,180.0,36.0,51.0,0.14,19.12,5.94
2020-09-11 21:38:00,0.07,204.0,32.0,54.0,0.53,17.02,4.98
2020-09-11 21:39:00,0.09,230.0,34.0,62.0,0.78,18.16,5.78
2020-09-11 21:40:00,0.08,199.0,33.0,42.0,0.17,17.54,5.75
2020-09-11 21:41:00,0.1,203.0,35.0,48.0,0.24,19.12,4.85
2020-09-11 21:42:00,0.07,214.0,33.0,49.0,1.01,17.43,4.44
2020-09-11 21:43:00,0.08,177.0,35.0,49.0,0.54,20.38,4.51
2020-09-11 21:44:00,0.07,206.0,34.0,43.0,1.05,19.77,5.21
2020-09-11 21:45:00,0.05,198.0,34.0,50.0,0.36,18.71,4.98
2020-09-11 21:46:00,0.08,184.0,34.0,56.0,0.3,17.79,6.69
2020-09-11 21:47:00,0.08,213.0,33.0,49.0,0.72,17.06,6.12
2020-09-11 21:48:00,0.07,201.0,33.0,48.0,6.24,17.24,5.17
2020-09-11 21:49:00,0.09,196.0,35.0,45.0,0.19,19.41,8.89
2020-09-11 21:50:00,0.08,208.0,38.0,60.0,1.26,21.78,6.37
2020-09-11 21:51:00,0.09,195.0,34.0,50.0,0.47,18.77,4.89
2020-09-11 21:52:00,0.07,179.0,39.0,42.0,2.74,21.01,5.74
2020-09-11 21:53:00,0.08,239.0,38.0,49.0,1.02,19.81,6.47
2020-09-11 21:54:00,0.07,198.0,34.0,53.0,1.85,18.33,5.52
2020-09-11 21:55:00,0.06,178.0,35.0,45.0,0.03,18.63,7.78
2020-09-11 21:56:00,0.08,234.0,35.0,47.0,1.2,18.29,7.54
2020-09-11 21:57:00,0.07,244.0,33.0,44.0,1.04,17.04,5.83
2020-09-11 21:58:00,0.07,197.0,36.0,41.0,0.24,20.18,7.87
2020-09-11 21:59:00,0.09,218.0,35.0,48.0,0.76,19.99,7.95
2020-09-11 22:00:00,0.07,233.0,33.0,45.0,1.41,18.16,8.91
2020-09-11 22:01:00,0.12,179.0,34.0,55.0,0.16,18.12,8.2
2020-09-11 22:02:00,0.11,208.0,34.0,48.0,0.72,18.64,8.23
2020-09-11 22:03:00,0.1,176.0,34.0,49.0,0.62,18.77,8.24
2020-09-11 22:04:00,0.08,213.0,35.0,49.0,0.44,20.61,8.12
2020-09-11 22:05:00,0.07,230.0,33.0,49.0,0.74,18.22,9.57
2020-09-11 22:06:00,0.1,187.0,33.0,51.0,0.06,17.25,9.96
2020-09-11 22:07:00,0.07,167.0,32.0,44.0,0.93,16.68,10.06
2020-09-11 22:08:00,0.09,210.0,35.0,49.0,1.02,18.07,9.13
2020-09-11 22:09:00,0.11,192.0,35.0,53.0,0.12,19.11,16.31
2020-09-11 22:10:00,0.1,186.0,35.0,51.0,0.19,18.66,10.74
2020-09-11 22:11:00,0.1,207.0,34.0,52.0,0.89,17.38,8.78
2020-09-11 22:12:00,0.08,220.0,32.0,50.0,0.93,16.23,7.0
2020-09-11 22:13:00,0.09,199.0,34.0,51.0,0.3,17.01,14.29
2020-09-11 22:14:00,0.08,215.0,34.0,52.0,0.67,17.01,15.0
2020-09-11 22:15:00,0.06,201.0,35.0,50.0,0.28,17.52,11.84
2020-09-11 22:16:00,0.09,187.0,36.0,51.0,0.14,18.26,8.87
2020-09-11 22:17:00,0.08,140.0,34.0,47.0,0.01,17.1,6.89
2020-09-11 22:18:00,0.07,150.0,84.0,203.0,0.14,22.09,6.3
2020-09-11 22:19:00,0.09,220.0,78.0,186.0,0.11,18.91,6.49
2020-09-11 22:20:00,2.25,229.0,41.0,66.0,0.79,17.16,7.13
2020-09-11 22:25:00,83.3,204.0,35.0,43.0,0.06,20.22,6.68
2020-09-11 22:26:00,0.08,258.0,34.0,49.0,1.14,18.39,6.46
2020-09-11 22:27:00,0.06,206.0,32.0,42.0,0.05,17.84,6.48
2020-09-11 22:28:00,0.07,195.0,33.0,46.0,3.81,17.94,6.08
2020-09-11 22:29:00,0.09,239.0,39.0,45.0,0.23,22.65,7.5
2020-09-11 22:30:00,0.07,194.0,32.0,48.0,1.38,17.39,6.95
2020-09-11 22:31:00,0.1,187.0,33.0,47.0,0.59,18.07,6.67
2020-09-11 22:32:00,0.08,233.0,35.0,54.0,1.34,18.85,7.14
2020-09-11 22:33:00,0.09,197.0,33.0,47.0,2.49,17.67,10.33
2020-09-11 22:34:00,0.07,199.0,38.0,44.0,0.23,22.65,8.05
2020-09-11 22:35:00,0.06,196.0,33.0,48.0,1.9,20.37,7.88
2020-09-11 22:36:00,0.08,194.0,33.0,44.0,0.04,17.8,5.7
2020-09-11 22:37:00,0.06,181.0,31.0,42.0,0.27,15.82,5.23
2020-09-11 22:38:00,0.07,201.0,32.0,45.0,1.61,16.86,5.12
2020-09-11 22:39:00,0.09,169.0,32.0,45.0,1.87,16.87,5.4
2020-09-11 22:40:00,0.08,164.0,31.0,45.0,0.74,17.09,5.75
2020-09-11 22:41:00,0.1,214.0,33.0,47.0,1.16,18.31,4.83
2020-09-11 22:42:00,0.07,162.0,32.0,53.0,3.17,17.43,4.42
2020-09-11 22:43:00,0.1,168.0,33.0,55.0,0.12,17.86,6.28
2020-09-11 22:44:00,0.07,194.0,33.0,48.0,5.83,17.8,5.36
2020-09-11 22:45:00,0.06,204.0,33.0,50.0,0.19,18.76,6.71
2020-09-11 22:46:00,0.08,154.0,33.0,47.0,0.51,17.34,5.61
2020-09-11 22:47:00,0.08,164.0,33.0,54.0,1.97,17.68,4.13
2020-09-11 22:48:00,0.07,164.0,34.0,43.0,0.16,18.81,4.85
2020-09-11 22:49:00,0.09,206.0,34.0,59.0,0.94,17.91,5.62
2020-09-11 22:50:00,0.07,176.0,34.0,48.0,0.07,18.73,5.56
2020-09-11 22:51:00,0.1,179.0,37.0,48.0,0.34,19.76,4.34
2020-09-11 22:52:00,0.07,164.0,33.0,53.0,6.01,17.21,6.25
2020-09-11 22:53:00,0.09,180.0,34.0,41.0,0.43,18.59,5.22
2020-09-11 22:54:00,0.07,180.0,34.0,47.0,1.68,18.01,5.0
2020-09-11 22:55:00,0.06,194.0,35.0,55.0,0.19,19.01,4.91
2020-09-11 22:56:00,0.08,211.0,36.0,48.0,1.38,21.37,5.48
2020-09-11 22:57:00,0.06,223.0,37.0,41.0,0.94,21.99,5.28
2020-09-11 22:58:00,0.06,201.0,35.0,54.0,0.68,22.07,4.87
2020-09-11 22:59:00,0.09,186.0,37.0,47.0,0.04,19.68,5.16
2020-09-11 23:00:00,0.07,157.0,31.0,50.0,0.04,15.69,5.29
2020-09-11 23:01:00,0.1,159.0,32.0,51.0,0.07,16.74,5.12
2020-09-11 23:02:00,0.08,151.0,32.0,56.0,1.76,17.11,4.77
2020-09-11 23:03:00,0.09,159.0,32.0,43.0,0.49,16.93,5.64
2020-09-11 23:04:00,0.07,147.0,33.0,50.0,8.64,17.6,5.55
2020-09-11 23:05:00,0.06,174.0,34.0,48.0,0.5,18.79,5.74
2020-09-11 23:06:00,0.07,186.0,34.0,54.0,0.33,18.96,4.44
2020-09-11 23:07:00,0.07,158.0,35.0,53.0,0.11,19.49,5.45
2020-09-11 23:08:00,0.08,195.0,34.0,48.0,1.38,18.36,4.6
2020-09-11 23:09:00,0.09,174.0,36.0,51.0,0.29,20.42,5.14
2020-09-11 23:10:00,0.08,182.0,33.0,49.0,1.23,22.64,4.97
2020-09-11 23:11:00,0.11,175.0,33.0,45.0,1.99,17.26,4.69
2020-09-11 23:12:00,0.08,190.0,32.0,49.0,0.06,16.42,5.22
2020-09-11 23:13:00,0.09,165.0,31.0,45.0,0.07,16.1,5.05
2020-09-11 23:14:00,0.07,181.0,32.0,52.0,1.24,16.82,4.47
2020-09-11 23:15:00,0.06,165.0,35.0,48.0,0.11,18.34,5.36
2020-09-11 23:16:00,0.08,153.0,33.0,51.0,0.07,17.37,4.7
2020-09-11 23:17:00,0.08,188.0,32.0,59.0,1.07,16.89,5.33
2020-09-11 23:18:00,0.11,176.0,35.0,51.0,0.3,18.02,7.31
2020-09-11 23:19:00,0.09,178.0,33.0,55.0,1.49,17.14,6.29
2020-09-11 23:20:00,0.07,168.0,34.0,58.0,12.17,17.46,5.29
2020-09-11 23:21:00,0.22,185.0,39.0,44.0,0.16,19.77,4.18
2020-09-11 23:22:00,0.07,214.0,33.0,45.0,1.44,17.35,3.61
2020-09-11 23:23:00,0.08,191.0,32.0,48.0,0.35,17.29,4.38
2020-09-11 23:24:00,0.06,166.0,32.0,53.0,2.1,16.96,3.85
2020-09-11 23:25:00,0.06,187.0,35.0,46.0,0.14,18.94,4.48
2020-09-11 23:26:00,0.08,166.0,33.0,43.0,0.29,17.36,6.92
2020-09-11 23:27:00,0.07,164.0,33.0,48.0,0.29,17.04,5.96
2020-09-11 23:28:00,0.18,161.0,34.0,49.0,0.41,17.52,5.53
2020-09-11 23:29:00,0.08,176.0,34.0,49.0,5.51,17.64,6.9
2020-09-11 23:30:00,0.07,190.0,34.0,43.0,0.12,18.18,6.93
2020-09-11 23:31:00,0.28,176.0,35.0,51.0,0.07,18.73,6.12
2020-09-11 23:32:00,0.08,212.0,39.0,54.0,1.02,20.46,8.25
2020-09-11 23:33:00,0.08,166.0,32.0,49.0,0.36,15.69,7.99
2020-09-11 23:34:00,0.07,166.0,33.0,42.0,0.11,16.76,5.75
2020-09-11 23:35:00,0.06,206.0,35.0,51.0,1.3,19.1,4.12
2020-09-11 23:36:00,0.08,172.0,35.0,44.0,0.35,18.09,6.95
2020-09-11 23:37:00,0.07,164.0,32.0,57.0,0.26,16.5,4.95
2020-09-11 23:38:00,0.17,179.0,31.0,43.0,1.86,15.68,4.17
2020-09-11 23:39:00,0.09,182.0,40.0,43.0,0.13,20.01,7.08
2020-09-11 23:40:00,0.07,169.0,35.0,50.0,0.36,17.31,7.62
2020-09-11 23:41:00,0.24,203.0,33.0,49.0,1.74,16.46,8.04
2020-09-11 23:42:00,0.08,232.0,35.0,46.0,1.52,19.52,8.82
2020-09-11 23:43:00,0.09,191.0,34.0,49.0,0.17,17.84,8.21
2020-09-11 23:44:00,0.08,217.0,32.0,42.0,1.04,16.59,8.31
2020-09-11 23:45:00,0.06,177.0,33.0,49.0,0.38,18.21,7.48
2020-09-11 23:46:00,0.07,176.0,34.0,48.0,0.12,17.95,7.39
2020-09-11 23:47:00,0.08,197.0,33.0,45.0,3.35,16.71,8.21
2020-09-11 23:48:00,0.16,186.0,33.0,60.0,0.19,17.14,7.7
2020-09-11 23:49:00,0.08,209.0,33.0,44.0,1.44,17.34,7.27
2020-09-11 23:50:00,0.07,184.0,34.0,47.0,2.34,17.69,7.8
2020-09-11 23:51:00,0.21,201.0,35.0,49.0,0.77,18.0,7.44
2020-09-11 23:52:00,0.08,169.0,34.0,55.0,3.21,17.59,6.89
2020-09-11 23:53:00,0.09,181.0,37.0,44.0,12.7,19.62,8.72
2020-09-11 23:54:00,0.07,215.0,37.0,47.0,0.21,18.98,8.84
2020-09-11 23:55:00,0.06,203.0,35.0,56.0,0.03,19.51,7.69
2020-09-11 23:56:00,0.08,166.0,31.0,46.0,0.09,15.98,8.11
2020-09-11 23:57:00,0.08,195.0,33.0,44.0,0.19,18.27,8.74
2020-09-11 23:58:00,0.15,191.0,34.0,53.0,0.14,18.56,6.89
2020-09-11 23:59:00,0.09,205.0,32.0,44.0,4.81,16.23,8.16
2020-09-12 00:00:00,0.07,166.0,34.0,49.0,0.06,17.72,7.8
2020-09-12 00:01:00,0.17,159.0,34.0,44.0,0.22,17.71,6.9
2020-09-12 00:02:00,0.08,153.0,33.0,53.0,0.08,17.09,8.47
2020-09-12 00:03:00,0.1,174.0,33.0,58.0,0.2,17.49,7.09
2020-09-12 00:04:00,0.07,171.0,33.0,52.0,7.83,17.15,6.11
2020-09-12 00:05:00,0.07,172.0,36.0,60.0,0.63,19.84,6.62
2020-09-12 00:06:00,0.07,181.0,33.0,44.0,3.05,16.93,6.94
2020-09-12 00:07:00,0.07,187.0,33.0,52.0,0.03,16.26,7.06
2020-09-12 00:08:00,0.15,156.0,32.0,46.0,0.36,16.51,7.33
2020-09-12 00:09:00,0.08,197.0,32.0,47.0,0.3,16.77,6.76
2020-09-12 00:10:00,0.08,177.0,33.0,44.0,0.09,17.9,7.3
2020-09-12 00:11:00,0.17,142.0,31.0,47.0,0.16,16.34,5.61
2020-09-12 00:12:00,0.08,159.0,33.0,41.0,0.37,17.18,5.54
2020-09-12 00:13:00,0.09,182.0,32.0,64.0,0.21,17.0,6.01
2020-09-12 00:14:00,0.07,141.0,35.0,57.0,0.04,19.36,6.09
2020-09-12 00:15:00,0.07,217.0,38.0,54.0,0.33,20.12,5.19
2020-09-12 00:16:00,0.08,179.0,37.0,42.0,0.06,23.89,5.13
2020-09-12 00:17:00,0.08,162.0,35.0,55.0,0.04,16.66,6.37
2020-09-12 00:18:00,0.14,208.0,33.0,44.0,0.22,16.51,6.84
2020-09-12 00:19:00,0.08,187.0,33.0,59.0,0.08,18.09,6.87
2020-09-12 00:20:00,0.08,145.0,39.0,50.0,0.49,22.18,6.02
2020-09-12 00:21:00,0.09,154.0,35.0,45.0,0.06,19.6,6.43
2020-09-12 00:22:00,0.08,169.0,34.0,48.0,0.08,17.26,7.27
2020-09-12 00:23:00,0.09,183.0,33.0,44.0,0.07,16.79,6.74
2020-09-12 00:24:00,0.06,198.0,36.0,42.0,0.17,18.21,7.69
2020-09-12 00:25:00,0.06,156.0,32.0,55.0,0.04,16.26,9.01
2020-09-12 00:26:00,0.07,200.0,34.0,50.0,0.09,17.81,7.82
2020-09-12 00:27:00,0.07,221.0,37.0,44.0,0.13,20.96,7.92
2020-09-12 00:28:00,0.13,182.0,33.0,42.0,0.03,18.89,7.0
2020-09-12 00:29:00,0.09,164.0,32.0,45.0,0.03,15.82,6.21
2020-09-12 00:30:00,0.07,175.0,32.0,42.0,0.19,16.63,5.46
2020-09-12 00:31:00,0.09,153.0,34.0,46.0,0.12,19.32,4.64
2020-09-12 00:32:00,0.08,148.0,31.0,61.0,1.18,16.73,5.6
2020-09-12 00:33:00,0.09,192.0,33.0,43.0,0.12,17.43,4.4
2020-09-12 00:34:00,0.07,169.0,38.0,43.0,0.01,23.46,5.07
2020-09-12 00:35:00,0.06,145.0,32.0,45.0,4.06,16.26,5.16
2020-09-12 00:36:00,0.08,184.0,32.0,45.0,0.11,16.57,5.02
2020-09-12 00:37:00,0.07,150.0,33.0,53.0,0.02,16.66,5.4
2020-09-12 00:38:00,0.13,141.0,33.0,48.0,0.02,16.7,4.69
2020-09-12 00:39:00,0.08,189.0,32.0,46.0,0.25,16.31,4.91
2020-09-12 00:40:00,0.08,148.0,33.0,46.0,0.04,16.92,5.4
2020-09-12 00:41:00,0.08,169.0,32.0,50.0,0.16,16.46,7.84
2020-09-12 00:42:00,0.08,185.0,32.0,53.0,0.21,16.71,7.08
2020-09-12 00:43:00,0.08,148.0,32.0,48.0,1.07,16.43,5.77
2020-09-12 00:44:00,0.07,143.0,33.0,48.0,7.83,16.83,5.24
2020-09-12 00:45:00,0.06,176.0,33.0,58.0,0.23,17.14,4.98
2020-09-12 00:46:00,0.07,147.0,32.0,56.0,0.22,16.45,5.19
2020-09-12 00:47:00,0.08,159.0,35.0,50.0,0.19,17.97,6.92
2020-09-12 00:48:00,0.12,182.0,33.0,53.0,0.06,16.91,5.28
2020-09-12 00:49:00,0.08,161.0,35.0,50.0,0.38,19.22,4.93
2020-09-12 00:50:00,0.08,194.0,38.0,51.0,0.17,20.97,5.68
2020-09-12 00:51:00,0.09,184.0,32.0,44.0,0.05,16.9,4.09
2020-09-12 00:52:00,0.07,175.0,33.0,47.0,0.05,17.01,5.12
2020-09-12 00:53:00,0.08,188.0,35.0,49.0,0.07,17.64,4.44
2020-09-12 00:54:00,0.07,200.0,34.0,47.0,0.17,19.09,5.18
2020-09-12 00:55:00,0.06,179.0,35.0,46.0,0.04,18.59,4.81
2020-09-12 00:56:00,0.07,194.0,33.0,46.0,0.1,18.94,5.56
2020-09-12 00:57:00,0.07,118.0,34.0,48.0,6.77,19.44,4.9
2020-09-12 00:58:00,0.08,172.0,33.0,49.0,0.17,17.79,5.27
2020-09-12 00:59:00,0.09,155.0,33.0,50.0,0.07,17.17,4.52
2020-09-12 01:00:00,0.14,172.0,36.0,47.0,0.07,18.56,4.44
2020-09-12 01:01:00,0.08,184.0,38.0,42.0,0.2,20.18,4.9
2020-09-12 01:02:00,0.08,199.0,31.0,41.0,0.11,16.06,4.81
2020-09-12 01:03:00,0.09,211.0,32.0,41.0,0.11,16.02,4.93
2020-09-12 01:04:00,0.08,187.0,32.0,48.0,0.07,15.92,3.89
2020-09-12 01:05:00,0.06,167.0,33.0,47.0,0.05,16.86,6.58
2020-09-12 01:06:00,0.07,153.0,31.0,47.0,0.04,15.76,4.84
2020-09-12 01:07:00,0.07,155.0,32.0,47.0,0.14,16.64,4.57
2020-09-12 01:08:00,0.08,137.0,32.0,41.0,0.44,16.19,6.16
