,Nb process http,Cpu global,Nb connection mysql
2020-07-31 03:35:00,171.0,5.87,74.0
2020-07-31 03:36:00,156.0,6.3,81.0
2020-07-31 03:37:00,137.0,5.3,77.0
2020-07-31 03:38:00,158.0,5.92,74.0
2020-07-31 03:39:00,159.0,5.08,67.0
2020-07-31 03:40:00,152.0,5.36,81.0
2020-07-31 03:41:00,149.0,5.44,65.0
2020-07-31 03:42:00,128.0,4.95,89.0
2020-07-31 03:43:00,120.0,5.53,83.0
2020-07-31 03:44:00,132.0,5.47,87.0
2020-07-31 03:45:00,150.0,7.4,73.0
2020-07-31 03:46:00,134.0,5.93,72.0
2020-07-31 03:47:00,142.0,5.09,72.0
2020-07-31 03:48:00,151.0,4.96,82.0
2020-07-31 03:49:00,136.0,3.7,78.0
2020-07-31 03:50:00,144.0,4.3,94.0
2020-07-31 03:51:00,131.0,4.39,84.0
2020-07-31 03:52:00,141.0,5.37,82.0
2020-07-31 03:53:00,128.0,4.39,72.0
2020-07-31 03:54:00,138.0,4.49,84.0
2020-07-31 03:55:00,143.0,4.31,76.0
2020-07-31 03:56:00,120.0,4.09,83.0
2020-07-31 03:57:00,129.0,4.68,88.0
2020-07-31 03:58:00,145.0,5.86,72.0
2020-07-31 03:59:00,151.0,4.79,73.0
2020-07-31 04:00:00,133.0,3.99,86.0
2020-07-31 04:01:00,125.0,5.29,72.0
2020-07-31 04:02:00,124.0,5.23,93.0
2020-07-31 04:03:00,126.0,5.25,76.0
2020-07-31 04:04:00,148.0,5.53,72.0
2020-07-31 04:05:00,130.0,4.93,80.0
2020-07-31 04:06:00,141.0,5.74,75.0
2020-07-31 04:07:00,127.0,5.15,81.0
2020-07-31 04:08:00,108.0,4.87,80.0
2020-07-31 04:09:00,127.0,4.84,70.0
2020-07-31 04:10:00,116.0,4.93,83.0
2020-07-31 04:11:00,126.0,4.76,76.0
2020-07-31 04:12:00,136.0,3.78,75.0
2020-07-31 04:13:00,146.0,4.01,71.0
2020-07-31 04:14:00,128.0,3.75,90.0
2020-07-31 04:15:00,129.0,3.9,71.0
2020-07-31 04:16:00,140.0,4.48,79.0
2020-07-31 04:17:00,141.0,4.97,66.0
2020-07-31 04:18:00,182.0,4.66,79.0
2020-07-31 04:19:00,159.0,4.86,70.0
2020-07-31 04:20:00,171.0,4.52,87.0
2020-07-31 04:21:00,130.0,5.82,65.0
2020-07-31 04:22:00,120.0,4.81,90.0
2020-07-31 04:23:00,132.0,7.13,76.0
2020-07-31 04:24:00,142.0,6.08,84.0
2020-07-31 04:25:00,155.0,5.43,73.0
2020-07-31 04:26:00,133.0,4.51,79.0
2020-07-31 04:27:00,145.0,4.89,74.0
2020-07-31 04:28:00,127.0,5.11,85.0
2020-07-31 04:29:00,139.0,6.9,88.0
2020-07-31 04:30:00,151.0,4.94,82.0
2020-07-31 04:31:00,145.0,5.37,81.0
2020-07-31 04:32:00,155.0,4.38,83.0
2020-07-31 04:33:00,142.0,4.34,70.0
2020-07-31 04:34:00,152.0,4.1,73.0
2020-07-31 04:35:00,151.0,5.29,66.0
2020-07-31 04:36:00,133.0,6.25,96.0
2020-07-31 04:37:00,150.0,4.95,84.0
2020-07-31 04:38:00,159.0,5.24,81.0
2020-07-31 04:39:00,135.0,6.62,69.0
2020-07-31 04:40:00,119.0,4.85,75.0
2020-07-31 04:41:00,168.0,5.88,79.0
2020-07-31 04:42:00,151.0,6.68,79.0
2020-07-31 04:43:00,161.0,5.77,71.0
2020-07-31 04:44:00,171.0,6.15,87.0
2020-07-31 04:45:00,149.0,6.18,67.0
2020-07-31 04:46:00,161.0,5.36,77.0
2020-07-31 04:47:00,148.0,6.23,89.0
2020-07-31 04:48:00,157.0,6.63,82.0
2020-07-31 04:49:00,165.0,6.6,72.0
2020-07-31 04:50:00,144.0,7.23,93.0
2020-07-31 04:51:00,155.0,6.1,68.0
2020-07-31 04:52:00,139.0,5.95,79.0
2020-07-31 04:53:00,146.0,5.71,74.0
2020-07-31 04:54:00,142.0,5.02,77.0
2020-07-31 04:55:00,129.0,7.1,81.0
2020-07-31 04:56:00,140.0,8.68,73.0
2020-07-31 04:57:00,130.0,7.76,76.0
2020-07-31 04:58:00,144.0,7.59,80.0
2020-07-31 04:59:00,150.0,6.26,74.0
2020-07-31 05:00:00,162.0,6.08,83.0
2020-07-31 05:01:00,141.0,7.11,90.0
2020-07-31 05:02:00,153.0,7.09,79.0
2020-07-31 05:03:00,164.0,5.37,71.0
2020-07-31 05:04:00,131.0,5.76,99.0
2020-07-31 05:05:00,161.0,7.03,85.0
2020-07-31 05:06:00,171.0,5.47,84.0
2020-07-31 05:07:00,149.0,6.02,80.0
2020-07-31 05:08:00,126.0,6.19,92.0
2020-07-31 05:09:00,131.0,5.86,76.0
2020-07-31 05:10:00,109.0,5.61,81.0
2020-07-31 05:11:00,136.0,6.21,74.0
2020-07-31 05:12:00,129.0,5.68,75.0
2020-07-31 05:13:00,149.0,5.08,72.0
2020-07-31 05:14:00,190.0,4.74,83.0
2020-07-31 05:15:00,142.0,5.24,76.0
2020-07-31 05:16:00,140.0,4.85,85.0
2020-07-31 05:17:00,136.0,4.2,81.0
2020-07-31 05:18:00,149.0,5.52,80.0
2020-07-31 05:19:00,161.0,5.61,83.0
2020-07-31 05:20:00,175.0,6.18,99.0
2020-07-31 05:21:00,163.0,8.25,90.0
2020-07-31 05:22:00,174.0,6.42,83.0
2020-07-31 05:23:00,130.0,5.09,76.0
2020-07-31 05:24:00,143.0,5.2,82.0
2020-07-31 05:25:00,138.0,5.43,76.0
2020-07-31 05:26:00,156.0,5.83,80.0
2020-07-31 05:27:00,140.0,6.78,79.0
2020-07-31 05:28:00,128.0,5.35,79.0
2020-07-31 05:29:00,147.0,5.6,93.0
2020-07-31 05:30:00,160.0,5.68,75.0
2020-07-31 05:31:00,146.0,5.04,84.0
2020-07-31 05:32:00,168.0,4.75,85.0
2020-07-31 05:33:00,147.0,4.79,96.0
2020-07-31 05:34:00,161.0,4.34,86.0
2020-07-31 05:35:00,130.0,5.34,81.0
2020-07-31 05:36:00,148.0,5.93,78.0
2020-07-31 05:37:00,138.0,4.62,91.0
2020-07-31 05:38:00,167.0,5.55,70.0
2020-07-31 05:39:00,125.0,4.34,101.0
2020-07-31 05:40:00,153.0,4.76,72.0
2020-07-31 05:41:00,131.0,4.17,83.0
2020-07-31 05:42:00,154.0,5.01,78.0
2020-07-31 05:43:00,153.0,4.79,76.0
2020-07-31 05:44:00,142.0,5.15,89.0
2020-07-31 05:45:00,139.0,4.87,94.0
2020-07-31 05:46:00,185.0,6.5,72.0
2020-07-31 05:47:00,147.0,5.08,102.0
2020-07-31 05:48:00,177.0,5.64,80.0
2020-07-31 05:49:00,188.0,5.7,92.0
2020-07-31 05:50:00,200.0,5.67,89.0
2020-07-31 05:51:00,151.0,5.5,110.0
2020-07-31 05:52:00,166.0,5.71,76.0
2020-07-31 05:53:00,165.0,5.88,78.0
2020-07-31 05:54:00,177.0,6.83,88.0
2020-07-31 05:55:00,154.0,5.8,85.0
2020-07-31 05:56:00,180.0,5.46,79.0
2020-07-31 05:57:00,163.0,4.88,103.0
2020-07-31 05:58:00,145.0,5.02,84.0
2020-07-31 05:59:00,182.0,5.52,86.0
2020-07-31 06:00:00,169.0,5.98,86.0
2020-07-31 06:01:00,162.0,5.61,85.0
2020-07-31 06:02:00,145.0,5.95,94.0
2020-07-31 06:03:00,164.0,6.12,84.0
2020-07-31 06:04:00,152.0,5.79,74.0
2020-07-31 06:05:00,148.0,4.43,83.0
2020-07-31 06:06:00,170.0,6.11,102.0
2020-07-31 06:07:00,165.0,5.87,98.0
2020-07-31 06:08:00,198.0,7.6,75.0
2020-07-31 06:09:00,156.0,5.62,80.0
2020-07-31 06:10:00,150.0,6.89,97.0
2020-07-31 06:11:00,155.0,6.7,84.0
2020-07-31 06:12:00,168.0,6.19,83.0
2020-07-31 06:13:00,144.0,6.38,84.0
2020-07-31 06:14:00,161.0,5.45,102.0
2020-07-31 06:15:00,165.0,4.69,77.0
2020-07-31 06:16:00,153.0,4.39,84.0
2020-07-31 06:17:00,174.0,6.87,85.0
2020-07-31 06:18:00,185.0,7.43,90.0
2020-07-31 06:19:00,175.0,7.96,104.0
2020-07-31 06:20:00,223.0,5.56,77.0
2020-07-31 06:21:00,172.0,5.47,80.0
2020-07-31 06:22:00,158.0,5.24,79.0
2020-07-31 06:23:00,175.0,4.42,69.0
2020-07-31 06:24:00,148.0,5.66,93.0
2020-07-31 06:25:00,168.0,7.55,85.0
2020-07-31 06:26:00,170.0,8.04,92.0
2020-07-31 06:27:00,169.0,7.65,96.0
2020-07-31 06:28:00,187.0,6.55,83.0
2020-07-31 06:29:00,165.0,6.38,106.0
2020-07-31 06:30:00,194.0,6.49,93.0
2020-07-31 06:31:00,205.0,5.71,105.0
2020-07-31 06:32:00,209.0,6.4,89.0
2020-07-31 06:33:00,175.0,6.47,93.0
2020-07-31 06:34:00,191.0,6.86,88.0
2020-07-31 06:35:00,178.0,7.78,104.0
2020-07-31 06:36:00,192.0,8.8,84.0
2020-07-31 06:37:00,205.0,8.29,127.0
2020-07-31 06:38:00,214.0,8.86,95.0
2020-07-31 06:39:00,181.0,8.47,99.0
2020-07-31 06:40:00,192.0,8.63,100.0
2020-07-31 06:41:00,193.0,8.54,99.0
2020-07-31 06:42:00,179.0,8.47,85.0
2020-07-31 06:43:00,191.0,8.93,108.0
2020-07-31 06:44:00,206.0,7.32,81.0
2020-07-31 06:45:00,170.0,9.29,89.0
2020-07-31 06:46:00,191.0,7.99,82.0
2020-07-31 06:47:00,176.0,8.49,90.0
2020-07-31 06:48:00,192.0,8.0,84.0
2020-07-31 06:49:00,177.0,7.51,100.0
2020-07-31 06:50:00,210.0,7.81,104.0
2020-07-31 06:51:00,163.0,7.8,91.0
2020-07-31 06:52:00,185.0,8.58,84.0
2020-07-31 06:53:00,192.0,8.13,87.0
2020-07-31 06:54:00,206.0,8.92,83.0
2020-07-31 06:55:00,183.0,6.9,116.0
2020-07-31 06:56:00,189.0,7.45,81.0
2020-07-31 06:57:00,180.0,9.75,115.0
2020-07-31 06:58:00,186.0,8.79,85.0
2020-07-31 06:59:00,178.0,8.12,85.0
2020-07-31 07:00:00,171.0,7.52,90.0
2020-07-31 07:01:00,186.0,7.86,94.0
2020-07-31 07:02:00,188.0,9.5,91.0
2020-07-31 07:03:00,165.0,7.62,99.0
2020-07-31 07:04:00,189.0,7.22,100.0
2020-07-31 07:05:00,181.0,7.69,115.0
2020-07-31 07:06:00,192.0,8.26,90.0
2020-07-31 07:07:00,204.0,8.73,107.0
2020-07-31 07:08:00,202.0,9.6,98.0
2020-07-31 07:09:00,188.0,8.48,109.0
2020-07-31 07:10:00,207.0,8.51,88.0
2020-07-31 07:11:00,224.0,8.39,102.0
2020-07-31 07:12:00,239.0,8.15,99.0
2020-07-31 07:13:00,198.0,9.67,88.0
2020-07-31 07:14:00,219.0,9.03,94.0
2020-07-31 07:15:00,217.0,8.08,98.0
2020-07-31 07:16:00,203.0,9.51,98.0
2020-07-31 07:17:00,216.0,10.0,93.0
2020-07-31 07:18:00,201.0,9.77,103.0
2020-07-31 07:19:00,189.0,8.66,92.0
2020-07-31 07:20:00,215.0,9.65,93.0
2020-07-31 07:21:00,197.0,9.03,88.0
2020-07-31 07:22:00,181.0,7.27,125.0
2020-07-31 07:23:00,214.0,8.3,102.0
2020-07-31 07:24:00,205.0,7.46,90.0
2020-07-31 07:25:00,193.0,8.66,90.0
2020-07-31 07:26:00,199.0,9.22,86.0
2020-07-31 07:27:00,203.0,7.35,90.0
2020-07-31 07:28:00,193.0,7.03,93.0
2020-07-31 07:29:00,202.0,7.9,99.0
2020-07-31 07:30:00,209.0,8.36,110.0
2020-07-31 07:31:00,220.0,8.3,111.0
2020-07-31 07:32:00,221.0,8.46,94.0
2020-07-31 07:33:00,217.0,9.2,87.0
2020-07-31 07:34:00,198.0,7.41,89.0
2020-07-31 07:35:00,250.0,9.12,101.0
2020-07-31 07:36:00,192.0,8.22,91.0
2020-07-31 07:37:00,203.0,8.02,98.0
2020-07-31 07:38:00,194.0,8.59,91.0
2020-07-31 07:39:00,206.0,8.26,86.0
2020-07-31 07:40:00,191.0,7.22,110.0
2020-07-31 07:41:00,215.0,8.41,120.0
2020-07-31 07:42:00,231.0,7.99,97.0
2020-07-31 07:43:00,211.0,8.53,86.0
2020-07-31 07:44:00,208.0,8.57,139.0
2020-07-31 07:45:00,253.0,7.96,79.0
2020-07-31 07:46:00,203.0,7.88,84.0
2020-07-31 07:47:00,251.0,9.07,83.0
2020-07-31 07:48:00,197.0,8.34,94.0
2020-07-31 07:49:00,220.0,7.2,119.0
2020-07-31 07:50:00,235.0,8.02,97.0
2020-07-31 07:51:00,218.0,8.76,97.0
2020-07-31 07:52:00,230.0,9.12,94.0
2020-07-31 07:53:00,235.0,9.7,95.0
2020-07-31 07:54:00,210.0,7.99,84.0
2020-07-31 07:55:00,202.0,7.59,107.0
2020-07-31 07:56:00,234.0,8.47,83.0
2020-07-31 07:57:00,214.0,10.03,109.0
2020-07-31 07:58:00,192.0,8.49,81.0
2020-07-31 07:59:00,202.0,7.66,110.0
2020-07-31 08:00:00,203.0,9.86,112.0
2020-07-31 08:01:00,223.0,8.67,110.0
2020-07-31 08:02:00,225.0,10.8,99.0
2020-07-31 08:03:00,214.0,9.59,96.0
2020-07-31 08:04:00,188.0,8.13,101.0
2020-07-31 08:05:00,218.0,7.72,88.0
2020-07-31 08:06:00,201.0,7.77,95.0
2020-07-31 08:07:00,194.0,8.15,93.0
2020-07-31 08:08:00,197.0,9.16,84.0
2020-07-31 08:09:00,194.0,8.03,97.0
2020-07-31 08:10:00,207.0,10.65,96.0
2020-07-31 08:11:00,238.0,9.19,115.0
2020-07-31 08:12:00,227.0,11.19,96.0
2020-07-31 08:13:00,194.0,7.62,93.0
2020-07-31 08:14:00,211.0,8.64,100.0
2020-07-31 08:15:00,215.0,9.86,89.0
2020-07-31 08:16:00,198.0,9.73,114.0
2020-07-31 08:17:00,212.0,12.33,89.0
2020-07-31 08:18:00,228.0,9.63,118.0
2020-07-31 08:19:00,187.0,8.27,93.0
2020-07-31 08:20:00,237.0,9.27,87.0
2020-07-31 08:21:00,203.0,8.69,105.0
2020-07-31 08:22:00,206.0,8.22,98.0
2020-07-31 08:23:00,206.0,8.62,103.0
2020-07-31 08:24:00,217.0,8.38,89.0
2020-07-31 08:25:00,217.0,9.08,86.0
2020-07-31 08:26:00,176.0,12.51,87.0
2020-07-31 08:27:00,212.0,9.72,84.0
2020-07-31 08:28:00,194.0,9.81,103.0
2020-07-31 08:29:00,192.0,11.49,113.0
2020-07-31 08:30:00,183.0,9.49,111.0
2020-07-31 08:31:00,229.0,9.0,91.0
2020-07-31 08:32:00,183.0,8.49,104.0
2020-07-31 08:33:00,218.0,8.94,107.0
2020-07-31 08:34:00,230.0,9.82,95.0
2020-07-31 08:35:00,214.0,9.99,90.0
2020-07-31 08:36:00,223.0,10.5,112.0
2020-07-31 08:37:00,241.0,10.19,106.0
2020-07-31 08:38:00,199.0,8.64,97.0
2020-07-31 08:39:00,202.0,9.64,92.0
2020-07-31 08:40:00,185.0,9.79,97.0
2020-07-31 08:41:00,202.0,8.7,105.0
2020-07-31 08:42:00,207.0,8.58,105.0
2020-07-31 08:43:00,220.0,10.21,103.0
2020-07-31 08:44:00,232.0,9.01,118.0
2020-07-31 08:45:00,219.0,9.0,84.0
2020-07-31 08:46:00,259.0,9.94,99.0
2020-07-31 08:47:00,215.0,8.11,96.0
2020-07-31 08:48:00,200.0,8.09,91.0
2020-07-31 08:49:00,222.0,9.82,89.0
2020-07-31 08:50:00,215.0,9.46,93.0
2020-07-31 08:51:00,200.0,7.14,86.0
2020-07-31 08:52:00,200.0,6.86,87.0
2020-07-31 08:53:00,219.0,8.49,103.0
2020-07-31 08:54:00,237.0,7.94,111.0
2020-07-31 08:55:00,211.0,8.65,105.0
2020-07-31 08:56:00,208.0,7.51,109.0
2020-07-31 08:57:00,233.0,8.9,88.0
2020-07-31 08:58:00,218.0,7.18,106.0
2020-07-31 08:59:00,236.0,8.2,99.0
2020-07-31 09:00:00,221.0,8.18,98.0
2020-07-31 09:01:00,218.0,9.32,112.0
2020-07-31 09:02:00,203.0,9.14,88.0
2020-07-31 09:03:00,216.0,7.73,87.0
2020-07-31 09:04:00,192.0,7.41,107.0
2020-07-31 09:05:00,211.0,8.42,132.0
2020-07-31 09:06:00,205.0,8.04,111.0
2020-07-31 09:07:00,220.0,9.0,132.0
2020-07-31 09:08:00,242.0,10.21,118.0
2020-07-31 09:09:00,223.0,8.09,95.0
2020-07-31 09:10:00,210.0,7.34,110.0
2020-07-31 09:11:00,229.0,7.96,93.0
2020-07-31 09:12:00,208.0,7.05,111.0
2020-07-31 09:13:00,200.0,7.96,101.0
2020-07-31 09:14:00,203.0,8.41,96.0
2020-07-31 09:15:00,219.0,7.86,103.0
2020-07-31 09:16:00,193.0,7.65,151.0
2020-07-31 09:17:00,230.0,8.29,109.0
2020-07-31 09:18:00,203.0,9.28,114.0
2020-07-31 09:19:00,216.0,8.23,113.0
2020-07-31 09:20:00,215.0,8.68,115.0
2020-07-31 09:21:00,229.0,7.44,88.0
2020-07-31 09:22:00,201.0,6.33,107.0
2020-07-31 09:23:00,205.0,8.2,89.0
2020-07-31 09:24:00,191.0,8.08,89.0
2020-07-31 09:25:00,203.0,7.13,94.0
2020-07-31 09:26:00,181.0,7.11,121.0
2020-07-31 09:27:00,205.0,7.44,128.0
2020-07-31 09:28:00,215.0,7.59,132.0
2020-07-31 09:29:00,203.0,7.56,145.0
2020-07-31 09:30:00,223.0,7.69,125.0
2020-07-31 09:31:00,220.0,12.27,93.0
2020-07-31 09:32:00,213.0,9.32,116.0
2020-07-31 09:33:00,248.0,9.87,95.0
2020-07-31 09:34:00,207.0,8.09,105.0
2020-07-31 09:35:00,226.0,8.42,137.0
2020-07-31 09:36:00,227.0,8.13,110.0
2020-07-31 09:37:00,223.0,8.13,114.0
2020-07-31 09:38:00,270.0,7.33,104.0
2020-07-31 09:39:00,219.0,8.2,121.0
2020-07-31 09:40:00,204.0,7.41,141.0
2020-07-31 09:41:00,222.0,8.93,123.0
2020-07-31 09:42:00,237.0,8.32,101.0
2020-07-31 09:43:00,204.0,6.96,93.0
2020-07-31 09:44:00,229.0,7.02,97.0
2020-07-31 09:45:00,210.0,6.32,130.0
2020-07-31 09:46:00,208.0,7.1,120.0
2020-07-31 09:47:00,223.0,7.82,104.0
2020-07-31 09:48:00,207.0,7.86,112.0
2020-07-31 09:49:00,213.0,7.6,104.0
2020-07-31 09:50:00,233.0,7.34,113.0
2020-07-31 09:51:00,213.0,7.44,111.0
2020-07-31 09:52:00,198.0,7.25,122.0
2020-07-31 09:53:00,204.0,6.88,130.0
2020-07-31 09:54:00,230.0,7.14,114.0
2020-07-31 09:55:00,239.0,9.99,110.0
2020-07-31 09:56:00,233.0,11.08,127.0
2020-07-31 09:57:00,211.0,11.16,146.0
2020-07-31 09:58:00,234.0,8.85,114.0
2020-07-31 09:59:00,214.0,8.73,111.0
2020-07-31 10:00:00,232.0,7.55,91.0
2020-07-31 10:01:00,210.0,7.95,125.0
2020-07-31 10:02:00,231.0,16.64,118.0
2020-07-31 10:03:00,216.0,13.24,112.0
2020-07-31 10:04:00,200.0,10.55,106.0
2020-07-31 10:05:00,190.0,9.34,103.0
2020-07-31 10:06:00,213.0,9.69,85.0
2020-07-31 10:07:00,196.0,10.09,105.0
2020-07-31 10:08:00,207.0,9.89,127.0
2020-07-31 10:09:00,234.0,12.8,99.0
2020-07-31 10:10:00,185.0,9.62,103.0
2020-07-31 10:11:00,188.0,9.35,109.0
2020-07-31 10:12:00,206.0,8.98,116.0
2020-07-31 10:13:00,180.0,8.48,132.0
2020-07-31 10:14:00,204.0,9.83,144.0
2020-07-31 10:15:00,216.0,10.48,121.0
2020-07-31 10:16:00,186.0,9.83,116.0
2020-07-31 10:17:00,208.0,9.71,101.0
2020-07-31 10:18:00,187.0,9.99,103.0
2020-07-31 10:19:00,198.0,9.63,110.0
2020-07-31 10:20:00,206.0,9.47,104.0
2020-07-31 10:21:00,188.0,10.75,93.0
2020-07-31 10:22:00,200.0,8.85,92.0
2020-07-31 10:23:00,178.0,8.6,115.0
2020-07-31 10:24:00,192.0,8.47,127.0
2020-07-31 10:25:00,209.0,8.93,127.0
2020-07-31 10:26:00,211.0,8.73,101.0
2020-07-31 10:27:00,197.0,8.5,110.0
2020-07-31 10:28:00,184.0,9.36,96.0
2020-07-31 10:29:00,197.0,10.68,99.0
2020-07-31 10:30:00,212.0,10.39,86.0
2020-07-31 10:31:00,189.0,10.02,118.0
2020-07-31 10:32:00,192.0,9.14,99.0
2020-07-31 10:33:00,184.0,8.01,104.0
2020-07-31 10:34:00,200.0,7.89,115.0
2020-07-31 10:35:00,193.0,8.13,140.0
2020-07-31 10:36:00,187.0,8.52,136.0
2020-07-31 10:37:00,208.0,8.67,103.0
2020-07-31 10:38:00,213.0,8.14,126.0
2020-07-31 10:39:00,196.0,7.78,108.0
2020-07-31 10:40:00,183.0,8.73,98.0
2020-07-31 10:41:00,198.0,7.72,105.0
2020-07-31 10:42:00,212.0,7.39,85.0
2020-07-31 10:43:00,193.0,7.31,97.0
2020-07-31 10:44:00,165.0,7.92,116.0
2020-07-31 10:45:00,198.0,8.51,107.0
2020-07-31 10:46:00,171.0,8.25,140.0
2020-07-31 10:47:00,186.0,7.52,118.0
2020-07-31 10:48:00,185.0,7.47,102.0
2020-07-31 10:49:00,172.0,7.32,90.0
2020-07-31 10:50:00,193.0,7.72,100.0
2020-07-31 10:51:00,195.0,6.26,89.0
2020-07-31 10:52:00,177.0,6.33,99.0
2020-07-31 10:53:00,181.0,6.99,104.0
2020-07-31 10:54:00,191.0,9.1,132.0
2020-07-31 10:55:00,170.0,7.68,114.0
2020-07-31 10:56:00,187.0,8.42,98.0
2020-07-31 10:57:00,199.0,6.84,127.0
2020-07-31 10:58:00,210.0,7.26,99.0
2020-07-31 10:59:00,186.0,8.59,96.0
2020-07-31 11:00:00,217.0,9.49,110.0
2020-07-31 11:01:00,199.0,8.37,102.0
2020-07-31 11:02:00,184.0,7.29,109.0
2020-07-31 11:03:00,184.0,7.13,94.0
2020-07-31 11:04:00,189.0,6.45,150.0
2020-07-31 11:05:00,173.0,6.05,91.0
2020-07-31 11:06:00,162.0,6.19,97.0
2020-07-31 11:07:00,180.0,5.19,95.0
2020-07-31 11:08:00,187.0,7.4,124.0
2020-07-31 11:09:00,180.0,6.59,91.0
2020-07-31 11:10:00,184.0,5.52,110.0
2020-07-31 11:11:00,196.0,7.58,98.0
2020-07-31 11:12:00,205.0,6.44,143.0
2020-07-31 11:13:00,215.0,5.2,121.0
2020-07-31 11:14:00,216.0,7.25,94.0
2020-07-31 11:15:00,196.0,7.38,100.0
2020-07-31 11:16:00,180.0,7.33,108.0
2020-07-31 11:17:00,183.0,6.38,91.0
2020-07-31 11:18:00,197.0,6.09,107.0
2020-07-31 11:19:00,173.0,6.69,127.0
2020-07-31 11:20:00,203.0,6.2,112.0
2020-07-31 11:21:00,188.0,6.7,132.0
2020-07-31 11:22:00,203.0,8.34,120.0
2020-07-31 11:23:00,202.0,7.79,96.0
2020-07-31 11:24:00,184.0,6.79,113.0
2020-07-31 11:25:00,195.0,6.86,131.0
2020-07-31 11:26:00,205.0,8.73,130.0
2020-07-31 11:27:00,189.0,7.83,87.0
2020-07-31 11:28:00,185.0,6.3,85.0
2020-07-31 11:29:00,200.0,6.76,121.0
2020-07-31 11:30:00,204.0,7.06,124.0
2020-07-31 11:31:00,181.0,7.69,120.0
2020-07-31 11:32:00,214.0,7.46,113.0
2020-07-31 11:33:00,170.0,7.91,92.0
2020-07-31 11:34:00,181.0,7.66,96.0
2020-07-31 11:35:00,209.0,9.07,118.0
2020-07-31 11:36:00,218.0,8.43,189.0
2020-07-31 11:37:00,203.0,8.89,141.0
2020-07-31 11:38:00,226.0,9.48,156.0
2020-07-31 11:39:00,235.0,8.52,103.0
2020-07-31 11:40:00,202.0,9.15,130.0
2020-07-31 11:41:00,217.0,9.28,123.0
2020-07-31 11:42:00,198.0,9.03,129.0
2020-07-31 11:43:00,184.0,8.76,109.0
2020-07-31 11:44:00,193.0,7.99,124.0
2020-07-31 11:45:00,222.0,10.13,104.0
2020-07-31 11:46:00,214.0,10.01,104.0
2020-07-31 11:47:00,195.0,10.14,101.0
2020-07-31 11:48:00,196.0,9.22,117.0
2020-07-31 11:49:00,183.0,9.01,134.0
2020-07-31 11:50:00,227.0,8.28,124.0
2020-07-31 11:51:00,209.0,9.53,128.0
